# ID:1726（全国トップページ）用 公示地価マスターデータ
# 生成日時: 2025-10-17 04:44:53
# データソース: 国土交通省 不動産情報ライブラリAPI
# 対象年: 2025年（令和7年）公示地価

# ========== 計算ロジック ==========
# Option A: 全データポイント方式
# 全国平均 = Σ(全47都道府県の全データポイント) / 総データポイント数
# 都道府県平均 = Σ(その都道府県の全データポイント) / その都道府県のデータポイント数
# 詳細: CALCULATION_LOGIC.md を参照

## セクション1: 全国平均サマリー（2025年）
area_name,average_price,tsubo_price,change_rate,data_count
日本全国,136982,452833,+2.1,17899

## セクション2: 💰 高価格ランキング TOP10
rank,prefecture_name,average_price,tsubo_price,tsubo_price_man,change_rate
1,東京都,514916,1702204,170.2,+5.6
2,神奈川県,212407,702172,70.2,+3.3
3,大阪府,159441,527078,52.7,+2.3
4,京都府,158712,524668,52.5,+2.0
5,埼玉県,145048,479498,47.9,+1.9
6,兵庫県,141295,467091,46.7,+1.8
7,愛知県,128701,425458,42.5,+2.2
8,千葉県,122777,405874,40.6,+4.4
9,沖縄県,121513,401696,40.2,+7.0
10,福岡県,114949,379997,38.0,+4.9

## セクション3: 📉 低価格ランキング TOP10
rank,prefecture_name,average_price,tsubo_price,tsubo_price_man,change_rate
1,秋田県,22535,74495,7.4,+0.5
2,青森県,24499,80988,8.1,+0.2
3,山形県,27802,91907,9.2,+0.2
4,鳥取県,29331,96962,9.7,-0.1
5,宮崎県,32993,109067,10.9,+0.3
6,茨城県,33613,111117,11.1,+0.7
7,島根県,34213,113100,11.3,-0.4
8,山梨県,34308,113415,11.3,-0.4
9,佐賀県,35014,115748,11.6,+2.1
10,岩手県,35028,115795,11.6,+0.5

## セクション4: 📈 上昇率ランキング TOP10
rank,prefecture_name,change_rate,average_price,tsubo_price_man
1,沖縄県,+7.0,121513,40.2
2,東京都,+5.6,514916,170.2
3,福岡県,+4.9,114949,38.0
4,千葉県,+4.4,122777,40.6
5,宮城県,+4.2,87341,28.9
6,神奈川県,+3.3,212407,70.2
7,熊本県,+3.1,60153,19.9
8,大阪府,+2.3,159441,52.7
9,大分県,+2.3,49246,16.3
10,愛知県,+2.2,128701,42.5

## セクション5: 📊 下落率ランキング TOP10
rank,prefecture_name,change_rate,average_price,tsubo_price_man
1,和歌山県,-0.7,42127,13.9
2,新潟県,-0.6,37555,12.4
3,愛媛県,-0.6,52619,17.4
4,鹿児島県,-0.6,44664,14.8
5,徳島県,-0.5,47945,15.8
6,山梨県,-0.4,34308,11.3
7,島根県,-0.4,34213,11.3
8,栃木県,-0.3,35225,11.6
9,群馬県,-0.3,37232,12.3
10,岐阜県,-0.3,46412,15.3

## セクション6: 都道府県別全データ（平均地価順）
rank,prefecture_name,average_price,tsubo_price,tsubo_price_man,change_rate,data_count
1,東京都,514916,1702204,170.2,+5.6,1661
2,神奈川県,212407,702172,70.2,+3.3,1310
3,大阪府,159441,527078,52.7,+2.3,1215
4,京都府,158712,524668,52.5,+2.0,442
5,埼玉県,145048,479498,47.9,+1.9,1011
6,兵庫県,141295,467091,46.7,+1.8,884
7,愛知県,128701,425458,42.5,+2.2,1282
8,千葉県,122777,405874,40.6,+4.4,953
9,沖縄県,121513,401696,40.2,+7.0,122
10,福岡県,114949,379997,38.0,+4.9,627
11,広島県,94015,310793,31.1,+1.3,438
12,宮城県,87341,288731,28.9,+4.2,401
13,静岡県,72011,238053,23.8,-0.0,457
14,奈良県,68367,226006,22.6,-0.2,311
15,熊本県,60153,198853,19.9,+3.1,160
16,石川県,59050,195206,19.5,+0.7,149
17,滋賀県,54552,180337,18.0,+0.3,235
18,愛媛県,52619,173947,17.4,-0.6,156
19,北海道,52342,173031,17.3,+1.3,927
20,高知県,52021,171970,17.2,-0.2,96
21,大分県,49246,162796,16.3,+2.3,146
22,徳島県,47945,158496,15.8,-0.5,101
23,岡山県,46618,154109,15.4,+0.8,271
24,岐阜県,46412,153428,15.3,-0.3,251
25,香川県,45822,151477,15.1,-0.1,107
26,長崎県,45511,150449,15.0,+1.1,165
27,鹿児島県,44664,147649,14.8,-0.6,189
28,和歌山県,42127,139263,13.9,-0.7,111
29,福井県,39204,129600,13.0,-0.2,85
30,三重県,38859,128459,12.8,+0.4,287
31,福島県,37793,124935,12.5,+0.7,315
32,新潟県,37555,124148,12.4,-0.6,299
33,長野県,37262,123180,12.3,+0.7,208
34,群馬県,37232,123081,12.3,-0.3,260
35,富山県,36560,120859,12.1,+0.0,148
36,山口県,35681,117953,11.8,+0.6,185
37,栃木県,35225,116446,11.6,-0.3,341
38,岩手県,35028,115795,11.6,+0.5,125
39,佐賀県,35014,115748,11.6,+2.1,88
40,山梨県,34308,113415,11.3,-0.4,105
41,島根県,34213,113100,11.3,-0.4,89
42,茨城県,33613,111117,11.1,+0.7,521
43,宮崎県,32993,109067,10.9,+0.3,148
44,鳥取県,29331,96962,9.7,-0.1,86
45,山形県,27802,91907,9.2,+0.2,124
46,青森県,24499,80988,8.1,+0.2,177
47,秋田県,22535,74495,7.4,+0.5,130
