ソース,カテゴリ,ツール名,キーワード,SEO難易度,月間検索数,検索順位,推定流入数,CPC ($),競合性,URL,重複,備考
smlt.jp,仲介手数料,仲介手数料計算,仲介手数料,29,18100,1,7936,2.39,19,https://smlt.jp/chukai_houshu/,,大家DX作成済み
smlt.jp,仲介手数料,仲介手数料計算,不動産 ちゅうかい,31,49500,6,3048,10.58,18,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,不動産仲介手数料,28,14800,2,2649,2.06,31,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,仲介手数料の計算,31,5400,1,2368,1.63,8,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,仲介手数料計算,29,5400,1,2368,0.76,6,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,仲介手数料不動産,33,14800,4,1434,3.06,35,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,仲介不動産 手数料,29,14800,4,1434,2.41,30,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,仲介手数料計算 不動産,30,1900,1,833,1.73,20,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,不動産仲介手数料計算,30,1900,1,833,1.57,19,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,土地仲介手数料,39,1600,1,702,3.43,15,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,不動産売買仲介手数料,33,3600,2,644,3.14,46,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料計算,仲介手数料相場,29,9900,6,610,0.89,29,https://smlt.jp/chukai_houshu/,,
smlt.jp,仲介手数料,仲介手数料（レーマン方式）,レーマン方式 計算,28,320,1,140,1.5,9,https://smlt.jp/chukai_houshu_lehmann/,,
smlt.jp,贈与税,贈与税計算,贈与税税率,48,49500,3,6114,0.11,20,https://smlt.jp/zouyozei/,,高トラフィック
smlt.jp,贈与税,贈与税計算,贈与税の税率,33,49500,6,3048,0.1,22,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税計算シミュレーション,33,4400,1,1929,0.37,2,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,税率 贈与税,48,49500,9,1551,0.11,20,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税金 計算,78,8100,3,1001,0.14,7,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税の計算,52,8100,3,1001,0.1,7,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税計算,47,8100,3,1001,0.13,7,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税 いくらから,47,40500,11,818,0.12,20,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税計算シュミレーション,33,4400,2,788,0.71,1,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税シミュレーション,33,1300,1,570,0.12,0,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与 税金,50,90500,17,484,0.2,17,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,土地贈与税計算 シュミレーション,49,720,1,316,0.43,10,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税はいくらから,51,40500,16,267,0.07,20,https://smlt.jp/zouyozei/,,
smlt.jp,贈与税,贈与税計算,贈与税,49,90500,20,245,0.13,17,https://smlt.jp/zouyozei/,,
smlt.jp,不動産取得税,土地・住宅取得税,不動産取得税 計算,29,9900,1,4341,0.41,5,https://smlt.jp/shutokuzei_tochi_jutaku/,,高トラフィック
smlt.jp,不動産取得税,土地・住宅取得税,不動産取得税の計算,44,9900,3,1223,0.35,4,https://smlt.jp/shutokuzei_tochi_jutaku/,,
smlt.jp,不動産取得税,土地・住宅取得税,取得 税金,33,2400,4,233,0.52,2,https://smlt.jp/shutokuzei_tochi_jutaku/,,
smlt.jp,不動産取得税,土地・住宅取得税,不動産取得税計算方法,28,1300,3,161,0.54,3,https://smlt.jp/shutokuzei_tochi_jutaku/,,
smlt.jp,不動産取得税,土地取得税,不動産取得税シミュレーション,27,720,2,129,0,0,https://smlt.jp/shutokuzei_tochi/,,
smlt.jp,不動産取得税,土地取得税,取得税 計算,30,720,2,129,0.02,3,https://smlt.jp/shutokuzei_tochi/,,
smlt.jp,不動産取得税,土地取得税,不動産取得税計算ツール,29,1300,4,126,0.26,1,https://smlt.jp/shutokuzei_tochi/,,
smlt.jp,登録免許税,土地登録免許税,登録免許税計算,30,5400,1,2368,0.06,3,https://smlt.jp/tourokumenkyozei_tochi/,,
smlt.jp,登録免許税,土地登録免許税,登録免許税の計算,29,5400,3,667,0.06,3,https://smlt.jp/tourokumenkyozei_tochi/,,
smlt.jp,登録免許税,土地登録免許税,登記費用計算,31,880,1,386,1.25,5,https://smlt.jp/tourokumenkyozei_tochi/,,
smlt.jp,登録免許税,土地登録免許税,登録免許税 計算方法,32,1900,2,340,0.1,5,https://smlt.jp/tourokumenkyozei_tochi/,,
smlt.jp,登録免許税,土地登録免許税,登録免許税の計算方法,33,1900,2,340,0.05,4,https://smlt.jp/tourokumenkyozei_tochi/,,
smlt.jp,登録免許税,土地登録免許税,所有権移転登記 費用 計算,30,320,1,140,0.57,4,https://smlt.jp/tourokumenkyozei_tochi/,,
smlt.jp,登録免許税,土地登録免許税,登記費用の計算,29,880,2,158,0.44,2,https://smlt.jp/tourokumenkyozei_tochi/,,
smlt.jp,登録免許税,土地・住宅登録免許税,登録免許税,29,14800,7,732,0.09,3,https://smlt.jp/tourokumenkyozei_tochi_jutaku/,,
smlt.jp,登録免許税,土地・住宅登録免許税,不動産登録免許税,33,1300,3,161,0.04,6,https://smlt.jp/tourokumenkyozei_tochi_jutaku/,,
smlt.jp,登録免許税,土地・住宅登録免許税,登録免許税不動産,30,1300,4,126,0.19,7,https://smlt.jp/tourokumenkyozei_tochi_jutaku/,,
smlt.jp,譲渡所得税,譲渡所得税計算,譲渡所得税 計算 シミュレーション,33,2900,1,1272,1.87,19,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,譲渡所得税計算シュミレーション,33,2900,1,1272,1.27,15,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,所得税計算ツール,33,40500,9,1269,2.93,1,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,不動産売却税,49,14800,6,911,1.92,62,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,不動産 税金 売却,33,14800,7,732,0.92,55,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,土地売却 税金 シュミレーション,33,1600,1,702,1.68,30,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,土地売却 税金シミュレーション,33,1600,1,702,1.73,29,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,不動産売却 税金,42,14800,8,581,0.92,55,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,不動産譲渡所得税計算,33,1000,1,438,0.4,35,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,不動産売却税金シミュレーション,32,1000,1,438,1.78,35,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,家売却 税金シミュレーション,31,880,1,386,2.12,55,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,マンション売却 税金計算シミュレーション,33,720,1,316,2.42,64,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,不動産売却税計算,33,1600,2,286,1.26,48,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,譲渡所得,47,12100,11,244,0.3,9,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,譲渡所得税計算,45,1300,2,233,0.48,14,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,譲渡所得税,譲渡所得税計算,土地の売却税金,33,8100,10,204,0.81,53,https://smlt.jp/jotoshotokuzei/,,
smlt.jp,印紙税,工事請負契約書印紙,工事請負契約書 印紙,42,6600,3,815,9.7,1,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,工事請負契約書印紙,請負工事契約書 印紙,40,6600,5,512,9.7,1,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,工事請負契約書印紙,工事請負契約書の印紙,52,6600,7,326,5.9,1,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,工事請負契約書印紙,請負契約の印紙,33,4400,6,271,3.5,0,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,工事請負契約書印紙,請負契約印紙,49,4400,6,271,9.13,0,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,工事請負契約書印紙,工事印紙,42,720,2,129,0,0,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,工事請負契約書印紙,請負工事印紙,42,1000,3,124,0.07,0,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,工事請負契約書印紙,収入印紙金額表,33,9900,11,200,0.09,0,https://smlt.jp/inshizei_ukeoi_kenchiku/,,
smlt.jp,印紙税,不動産契約書印紙,不動産印紙代,29,3600,3,445,0.19,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,印紙代,50,9900,8,389,0.07,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,印紙代不動産,29,3600,4,349,0.1,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,印紙売買契約書,42,4400,5,341,5.91,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,売買契約書印紙代,43,3600,5,279,4.17,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,売買契約書印紙,42,4400,6,271,5.91,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,不動産印紙,28,1600,3,198,0,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,印紙 不動産売買,30,1300,3,161,0.58,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,不動産売買契約書印紙,30,3600,8,141,0.49,1,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,印紙代不動産売買,28,1300,4,126,0.96,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,不動産売買印紙,28,1300,4,126,1.07,0,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,印紙税,不動産契約書印紙,不動産売買印紙代,28,1300,4,126,0.26,1,https://smlt.jp/inshizei_keiyakusho_fudosan/,,
smlt.jp,相続税,相続税計算,相続税の計算,49,33100,10,833,0.48,46,https://smlt.jp/souzokuzei_hoteisouzoku/,,
smlt.jp,相続税,相続税計算,計算 相続税,33,33100,19,115,0.52,46,https://smlt.jp/souzokuzei_hoteisouzoku/,,
smlt.jp,法人税,法人税計算,法人税金計算,54,4400,3,543,2.7,11,https://smlt.jp/houjinzei_s/,,
smlt.jp,法人税,法人税計算,税金計算 法人,33,4400,5,341,2.36,10,https://smlt.jp/houjinzei_s/,,
smlt.jp,法人税,法人税計算,法人税金シュミレーション,33,1900,2,340,3.43,5,https://smlt.jp/houjinzei_s/,,
smlt.jp,法人税,法人税計算,法人税 シュミレーション,33,1900,2,340,3.69,8,https://smlt.jp/houjinzei_s/,,
smlt.jp,法人税,法人税計算,法人税 計算シミュレーション,33,1900,2,340,3.34,9,https://smlt.jp/houjinzei_s/,,
