No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	dcf法	26	2900	記事	Know（DCF法の法律を確認したい）	法律・制度	解説	解説記事	法律・規制	DCF法_法律・規制	DCF法に関する法律・ルールを解説	権威構築	必須	解説記事
2	＋	dcf法とは	28	2400	記事	Know（DCF法の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	DCF法基礎解説	DCF法とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	dcf法 計算式	36	480	計算ページ	Do（DCF法で計算したい）	計算方法	実務ガイド	計算ツール		DCF法計算	DCF法の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	dcf法 わかりやすく	37	390	記事	Know（DCF法の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	DCF法基礎解説	DCF法とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
5	＋	dcf法 不動産	34	170	記事	Know（不動産投資でのDCF法を知りたい）	その他	解説	解説記事	不動産DCF	DCF法_不動産DCF	DCF法の不動産DCFを解説	権威構築	必須	解説記事
6	＋	dcf法 割引率	N/A	90	記事	Know（割引率の設定方法を知りたい）	税金	ハウツー	解説記事	割引率	DCF法税率	DCF法の税率一覧と計算方法	権威構築	必須	解説記事
7	＋	dcf法 企業価値	25	90	記事	Know（企業価値評価のDCF法を知りたい）	企業価値（対象外）	解説	解説記事	企業価値（対象外）	DCF法_企業価値（対象外）		権威構築	不要
8	＋	dcf法とは 不動産	N/A	70	記事	Know（DCF法の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	DCF法基礎解説	DCF法とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
9	＋	dcf法 割引率 目安	N/A	50	記事	Know（割引率の設定方法を知りたい）	税金	ハウツー	解説記事	割引率	DCF法税率	DCF法の税率一覧と計算方法	権威構築	必須	解説記事
10	＋	dcf法 計算 サイト	25	140	計算ページ	Do（DCF法で計算したい）	計算方法	実務ガイド	計算ツール		DCF法計算	DCF法の計算方法・シミュレーション	ツール集客	必須	計算ツール
11	＋	dcf法 計算方法	24	50	計算ページ	Do（DCF法で計算したい）	計算方法	実務ガイド	計算ツール		DCF法計算	DCF法の計算方法・シミュレーション	ツール集客	必須	計算ツール
12	＋	dcf法 とは	28	2400	記事	Know（DCF法の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	DCF法基礎解説	DCF法とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
13	＋	dcf法 計算例	24	30	計算ページ	Do（DCF法で計算したい）	計算方法	実務ガイド	計算ツール		DCF法計算	DCF法の計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋＋	dcf法とは 宅建	N/A	10	記事	Know（DCF法の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	DCF法基礎解説	DCF法とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
15	＋＋	dcf法とは わかりやすく	N/A	30	記事	Know（DCF法の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	DCF法基礎解説	DCF法とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
16	＋＋	dcf法とは 計算式	N/A	0	削除			解説		検索なし			対象外	不要
