No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	dscr	18	2400	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	dscrとは	20	1000	記事	Know（DSCRの意味を理解したい）	解説記事	基礎解説	DSCR基礎解説	DSCRとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	dscr 不動産	21	320	記事	Know（不動産融資でのDSCRを知りたい）	解説記事	不動産融資	DSCR_不動産融資	DSCRと不動産融資の関係を解説	権威構築	必須	解説記事
4	＋	dscr 計算方法	19	210	計算ページ	Do（DSCRを計算したい）	計算ツール		DSCR計算	DSCRの計算方法・シミュレーション	ツール集客	必須	計算ツール
5	＋	dscr 計算式	N/A	170	計算ページ	Do（DSCRを計算したい）	計算ツール		DSCR計算	DSCRの計算方法・シミュレーション	ツール集客	必須	計算ツール
6	＋	dscrx100m7	19	2400	削除			製品型番ノイズ			対象外	不要	
7	＋	dscrテストとは	N/A	50	削除			製品型番ノイズ			対象外	不要	
8	＋	dscrテスト	N/A	70	削除			製品型番ノイズ			対象外	不要	
9	＋	dscrとは 不動産	N/A	70	記事	Know（DSCRの意味を理解したい）	解説記事	基礎解説	DSCR基礎解説	DSCRとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
10	＋	dscr プロジェクトファイナンス	N/A	110	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	dscr とは	20	1000	記事	Know（DSCRの意味を理解したい）	解説記事	基礎解説	DSCR基礎解説	DSCRとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	dscr 目安	N/A	40	記事	Know（DSCRの目安を知りたい）	ガイド記事	目安	DSCR_目安		権威構築	補足	
13	＋	dscr 計算	N/A	50	計算ページ	Do（DSCRを計算したい）	計算ツール		DSCR計算	DSCRの計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋	dscr 読み方	N/A	0	削除			検索なし			対象外	不要	
15	＋	dscr 不動産 目安	N/A	0	削除			検索なし			対象外	不要	
16	＋	dscr 金融	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
17	＋＋	dscrとは 金融	N/A	0	削除			検索なし			対象外	不要	
18	＋＋	dscrとは わかりやすく	N/A	0	削除			検索なし			対象外	不要	
19	＋＋	dscrとは 計算	N/A	0	削除			検索なし			対象外	不要	
20	＋＋	dscrとは 計算式	N/A	0	削除			検索なし			対象外	不要	
21	＋＋	dscr 不動産 計算	N/A	30	計算ページ	Do（DSCRを計算したい）	計算ツール		DSCR計算	DSCRの計算方法・シミュレーション	ツール集客	必須	計算ツール
22	＋＋	dscr 不動産投資	N/A	0	削除			検索なし			対象外	不要	
23	＋＋	dscr 不動産 計算式	N/A	0	削除			検索なし			対象外	不要	
24	＋＋	ストレス dscr 計算方法	N/A	10	計算ページ	Do（DSCRを計算したい）	計算ツール		DSCR計算	DSCRの計算方法・シミュレーション	ツール集客	必須	計算ツール
25	＋＋	dscr 計算式 不動産	N/A	0	削除			検索なし			対象外	不要	
26	＋＋	dscrx100m7g	N/A	170	削除			製品型番ノイズ			対象外	不要	
27	＋＋	dscrx100m7 b	N/A	0	削除			検索なし			対象外	不要	
28	＋＋	dscrx100m7 価格 com	N/A	N/A	削除			検索なし			対象外	不要	
29	＋＋	dsc rx100m7 ab.ceh	N/A	0	削除			検索なし			対象外	不要	
30	＋＋	dscrx100m7g 価格.com	N/A	N/A	削除			検索なし			対象外	不要	
31	＋＋	dsc rx100m7a.ce3	N/A	N/A	削除			検索なし			対象外	不要	
32	＋＋	dscrx100m7 b or g	N/A	0	削除			検索なし			対象外	不要	
33	＋＋	dscrx100m7/b vs dsc rx100m7g	N/A	N/A	削除			検索なし			対象外	不要	
34	＋＋	dscrx100m7 説明 書	N/A	90	削除			製品型番ノイズ			対象外	不要	
35	＋＋	dscrテスト 不動産	N/A	0	削除			検索なし			対象外	不要	
36	＋＋	dscrテスト コンスタントレート	N/A	10	削除			製品型番ノイズ			対象外	不要	
37	＋＋	dscr toha	N/A	0	削除			検索なし			対象外	不要	
38	＋＋	dscr とは 不動産	N/A	70	記事	Know（DSCRの意味を理解したい）	解説記事	基礎解説	DSCR基礎解説	DSCRとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
39	＋＋	dscr 計算 書	N/A	0	削除			検索なし			対象外	不要	
40	＋＋	dscr 計算 式 不動産	N/A	0	削除			検索なし			対象外	不要	
41	＋＋	dscr 計算方法 不動産	N/A	0	削除			検索なし			対象外	不要	
42	＋＋	dscr 計算例	N/A	0	削除			検索なし			対象外	不要	
43	＋＋	dscr 計算 公式	N/A	0	削除			検索なし			対象外	不要	
44	＋＋	ストレス dscr 計算 方法	N/A	10	計算ページ	Do（DSCRを計算したい）	計算ツール		DSCR計算	DSCRの計算方法・シミュレーション	ツール集客	必須	計算ツール
45	＋＋	dscr と は 金融	N/A	0	削除			検索なし			対象外	不要	
46	＋α	dscr 0 down	N/A	0	削除			検索なし			対象外	不要	
47	＋α	dscr 0.75	N/A	0	削除			検索なし			対象外	不要	
48	＋α	dscr 0 means	N/A	N/A	削除			検索なし			対象外	不要	
49	＋α	dscr 0	N/A	0	削除			検索なし			対象外	不要	
50	＋α	dscr 0.8	N/A	0	削除			検索なし			対象外	不要	
51	＋α	dscr loan 0 down payment	N/A	0	削除			検索なし			対象外	不要	
52	＋α	drc 03	N/A	10	記事	Know（DSCRの具体例を知りたい）	ガイド記事	具体例・ケース	DSCR_具体例・ケース		権威構築	補足	
53	＋α	minimum dscr 0.75 x	N/A	0	削除			検索なし			対象外	不要	
54	＋α	0 down dscr loan	N/A	0	削除			検索なし			対象外	不要	
55	＋α	0 dscr loan	N/A	N/A	削除			検索なし			対象外	不要	
56	＋α	dscr 1以下	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
57	＋α	dscr 1.2	N/A	10	記事	Know（DSCRの具体的条件を知りたい）	ガイド記事	具体例・ケース	DSCR_具体例・ケース		権威構築	補足	
58	＋α	dscr 15 down	N/A	10	記事	Know（DSCRの具体例を知りたい）	ガイド記事	具体例・ケース	DSCR_具体例・ケース		権威構築	補足	
59	＋α	dscr 1.25 means	N/A	0	削除			検索なし			対象外	不要	
