No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	npv	27	5400	記事	Know（NPVの概要を知りたい）	解説記事	基礎解説	NPV_基礎解説	NPVの基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	npvとは	36	2900	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	npv 計算	36	880	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	npv法	36	320	記事	Know（NPV法の仕組みを知りたい）	解説記事	NPV法	NPV_NPV法		権威構築	補足	
5	＋	npv irr	34	320	記事	Know（NPVとIRRの違いを知りたい）	解説記事	指標比較	NPV_指標比較		権威構築	補足	
6	＋	npv関数	34	320	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
7	＋	npv 計算方法	N/A	210	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
8	＋	npv 計算式	N/A	210	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
9	＋	npv エクセル	22	210	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
10	＋	npv わかりやすく	36	170	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
11	＋	npv とは	36	2900	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	npv 意味	N/A	70	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
13	＋	npv 計算サイト	N/A	140	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋	npv irr 違い	N/A	70	記事	Know（NPVとIRRの違いを知りたい）	解説記事	指標比較	NPV_指標比較		権威構築	補足	
15	＋	npv 割引率 wacc	N/A	30	記事	Know（割引率の設定方法を知りたい）	解説記事	割引率	NPV税率	NPVの税率一覧と計算方法	権威構築	必須	解説記事
16	＋	npv dcf	N/A	30	記事	Know（NPVの概要を知りたい）	解説記事	基礎解説	NPV_基礎解説	NPVの基礎知識まとめ	権威構築	必須	ピラーページ
17	＋＋	npvとは わかりやすく	N/A	20	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
18	＋＋	npvとは 医療	N/A	0	削除			検索なし			対象外	不要	
19	＋＋	npvとは ビジネス	N/A	0	削除			検索なし			対象外	不要	
20	＋＋	npvとは 投資	N/A	0	削除			検索なし			対象外	不要	
21	＋＋	nppvとは	34	5400	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
22	＋＋	npvとは 計算	N/A	0	削除			検索なし			対象外	不要	
23	＋＋	npvとは 会計	N/A	0	削除			検索なし			対象外	不要	
24	＋＋	npv 計算方法 エクセル	N/A	140	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
25	＋＋	npv 計算 エクセル	N/A	40	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
26	＋＋	npv 計算 わかりやすく	N/A	0	削除			検索なし			対象外	不要	
27	＋＋	npv 計算式 エクセル	N/A	10	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
28	＋＋	npv 計算 例題	N/A	10	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
29	＋＋	npv 計算問題	N/A	20	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
30	＋＋	npv法 わかりやすく	N/A	40	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
31	＋＋	npv法とは	N/A	50	記事	Know（NPVの意味を理解したい）	解説記事	基礎解説	NPV基礎解説	NPVとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
32	＋＋	npv法 計算式	N/A	20	計算ページ	Do（NPVを計算したい）	計算ツール		NPV計算	NPVの計算方法・シミュレーション	ツール集客	必須	計算ツール
33	＋＋	npv法 irr法	N/A	10	記事	Know（NPVとIRRの違いを知りたい）	解説記事	指標比較	NPV_指標比較		権威構築	補足	
34	＋＋	npv法 投資判断	N/A	0	削除			検索なし			対象外	不要	
35	＋＋	npv法 割引率	N/A	0	削除			検索なし			対象外	不要	
36	＋＋	npv法 計算方法	N/A	0	削除			検索なし			対象外	不要	
37	＋＋	npv法 デメリット	N/A	0	削除			検索なし			対象外	不要	
38	＋＋	npv法 メリット デメリット	N/A	0	削除			検索なし			対象外	不要	
