No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	デッドクロスとは	43	8100	記事	Know（デッドクロスの意味を理解したい）	解説記事	基礎解説	デッドクロス基礎解説	デッドクロスとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
2	＋	デッドクロス	46	3600	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	デッドクロス 株	47	480	記事	Know（金融商品のデッドクロスを知りたい）	解説記事	金融商品	デッドクロス_金融商品		権威構築	補足	
4	＋	デッドクロス発生確定	47	390	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
5	＋	デッドクロスとは 株	42	320	記事	Know（デッドクロスの意味を理解したい）	解説記事	基礎解説	デッドクロス基礎解説	デッドクロスとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	デッドクロス発生見込み	53	390	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
7	＋	デッドクロス 買い	N/A	110	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
8	＋	デッドクロス銘柄	33	210	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
9	＋	デッドクロス ゴールデンクロス	44	590	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
10	＋	デッドクロス どうなる	N/A	110	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	デッドクロス 発生見込み	53	390	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
12	＋	デッドクロス 発生確定	47	390	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
13	＋	デッドクロス 買い時	55	170	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
14	＋	デッドクロス 不動産	29	210	記事	Know（不動産でのデッドクロスを知りたい）	解説記事	不動産特化	デッドクロス_不動産特化	デッドクロスと不動産投資の関係を解説	権威構築	必須	解説記事
15	＋	デッドクロス とは	43	8100	記事	Know（デッドクロスの意味を理解したい）	解説記事	基礎解説	デッドクロス基礎解説	デッドクロスとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
16	＋	デッドクロス 発生 確定 銘柄	N/A	90	記事	Know（デッドクロスの概要を知りたい）	解説記事	基礎解説	デッドクロス_基礎解説	デッドクロスの基礎知識まとめ	権威構築	必須	ピラーページ
