No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	リフォーム費用	33	2900	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
2	＋	リフォーム費用 相場	32	880	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
3	＋	リフォーム費用 マンション	30	320	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
4	＋	リフォーム費用 平均	33	260	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
5	＋	リフォーム費用 住宅ローン	33	210	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
6	＋	リフォーム費用 ローン	33	90	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
7	＋	リフォーム費用 減価償却	26	70	記事	Do（リフォーム費用の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	リフォーム費用_会計処理		権威構築	補足
8	＋	リフォーム費用 シミュレーション	28	90	計算ページ	Do（リフォーム費用をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		リフォーム費用計算	リフォーム費用の計算方法・シミュレーション	ツール集客	必須	計算ツール
9	＋	リフォーム費用 一覧	33	40	記事	Know（リフォーム費用の金額・相場を知りたい）	税金	データ一覧	ガイド記事	相場ガイド	リフォーム費用税率	リフォーム費用の税率一覧と計算方法	権威構築	必須	解説記事
10	＋	リフォーム費用 補助金	31	70	記事	Know（補助金・控除を活用したい）	控除・特例	解説	ガイド記事	補助金・控除	リフォーム費用_補助金・控除	リフォーム費用の控除・軽減措置まとめ	権威構築	必須	解説記事
11	＋	リフォーム費用 水回り	29	50	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
12	＋＋	リフォーム費用 相場 一戸建て	42	140	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
