No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	不動産取得税	29	60500	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
2	＋	不動産取得税 軽減措置	29	12100	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
3	＋	不動産取得税 計算	29	9900	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	不動産取得税 いつ払う	28	5400	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
5	＋	不動産取得税とは	30	2900	記事	Know（不動産取得税の仕組みを理解したい）	解説記事	基礎解説	不動産取得税基礎解説	不動産取得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	不動産取得税 かからない	29	1900	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
7	＋	不動産取得税 いつ	28	2400	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
8	＋	不動産取得税 還付	27	1900	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税_申告・手続き		権威構築	補足	
9	＋	不動産取得税 確定申告	43	1300	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
10	＋	不動産取得税 軽減措置 手続き	29	1900	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
11	＋	不動産取得税 税率	31	1300	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
12	＋	不動産取得税 いくら	28	1000	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
13	＋＋	不動産取得税 軽減措置 必要書類	28	1000	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
14	＋＋	不動産取得税 軽減措置 いつまで	29	1900	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
15	＋＋	不動産取得税 軽減措置 大阪	24	210	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
16	＋＋	不動産取得税 軽減措置 北海道	38	480	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
17	＋＋	不動産取得税 軽減措置 手続き 東京都	52	110	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
18	＋＋	不動産取得税 軽減措置 札幌	N/A	70	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
19	＋＋	不動産取得税 軽減措置 長野県	N/A	210	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
20	＋＋	不動産取得税 軽減措置 要件	28	590	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
21	＋＋	不動産取得税 計算方法	28	1300	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
22	＋＋	不動産取得税 計算ツール	30	1300	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
23	＋＋	不動産取得税 計算式	28	170	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	不動産取得税 計算シミュレーション	30	260	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
25	＋＋	不動産取得税 計算 マンション	28	390	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
26	＋＋	不動産取得税 計算 土地	27	170	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
27	＋＋	不動産取得税 計算 新築	49	90	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
28	＋＋	不動産取得税 計算 建物	29	140	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
29	＋＋	不動産取得税 計算方法 マンション	N/A	40	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
30	＋＋	不動産取得税 いつ払う 新築	27	320	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
31	＋＋	不動産取得税 いつ払う 中古	N/A	10	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
32	＋＋	不動産取得税 いつ払う 神奈川県	N/A	10	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
33	＋＋	不動産取得税 いつ払う 東京都	54	0	削除			検索なし			対象外	不要	
34	＋＋	不動産取得税 いつ払う 土地	N/A	0	削除			検索なし			対象外	不要	
35	＋＋	不動産取得税 いつ払う 埼玉県	N/A	0	削除			検索なし			対象外	不要	
36	＋＋	不動産取得税 いつ払う 大阪	N/A	10	削除			地域KW			対象外	不要	
37	＋＋	不動産取得税 いつ払う マンション	N/A	0	削除			検索なし			対象外	不要	
38	＋＋	不動産取得税 いつ払う 千葉県	N/A	10	削除			地域KW			対象外	不要	
39	＋＋	不動産取得税とは 新築	48	40	記事	Know（不動産取得税の仕組みを理解したい）	解説記事	基礎解説	不動産取得税基礎解説	不動産取得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
40	＋＋	不動産取得税とは 簡単に	N/A	10	記事	Know（不動産取得税の仕組みを理解したい）	解説記事	基礎解説	不動産取得税基礎解説	不動産取得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
41	＋＋	不動産取得税とは いつ払う	N/A	0	削除			検索なし			対象外	不要	
42	＋＋	不動産取得税とは 軽減措置	N/A	0	削除			検索なし			対象外	不要	
43	＋＋	不動産取得税とは いくら	N/A	0	削除			検索なし			対象外	不要	
44	＋＋	不動産取得税とは わかりやすく	28	480	記事	Know（不動産取得税の仕組みを理解したい）	解説記事	基礎解説	不動産取得税基礎解説	不動産取得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
45	＋＋	不動産取得税とは 固定資産税	44	10	記事	Know（不動産取得税の仕組みを理解したい）	解説記事	基礎解説	不動産取得税基礎解説	不動産取得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
46	＋＋	不動産取得税 かからない 土地	33	70	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
47	＋＋	不動産取得税 かからない 中古	27	320	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
48	＋＋	不動産取得税 かからないケース	N/A	70	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
49	＋＋	不動産取得税 かからない場合	N/A	40	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
