No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	不動産 売却 税金	43	14800	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
2	＋	不動産 売却	40	14800	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
3	＋	不動産 売却益 税金	44	1900	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
4	＋	不動産 売却 確定申告	45	4400	記事	Do（不動産 売却の申告をしたい）	ハウツー記事	申告・届出	不動産売却申告	不動産売却の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
5	＋	不動産 売却 手数料	29	1300	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
6	＋	不動産 売却 税金 計算	42	1300	計算ページ	Do（不動産 売却を計算したい）	計算ツール		不動産売却計算	不動産売却の計算方法・シミュレーション	ツール集客	必須	計算ツール
7	＋	不動産 売却 税金 シミュレーション	31	1000	計算ページ	Do（不動産 売却を計算したい）	計算ツール		不動産売却計算	不動産売却の計算方法・シミュレーション	ツール集客	必須	計算ツール
8	＋	不動産 売却益	43	390	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
9	＋	不動産 売却 所得税	43	480	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
10	＋	不動産 売却 査定	28	590	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
11	＋	不動産 売却 流れ	28	1000	記事	Do（不動産 売却の手続き・対策を知りたい）	ハウツー記事	手続き・対策	不動産売却_手続き・対策	不動産売却の手続き・対策を解説	権威構築	必須	解説記事
12	＋	不動産 売却 仲介手数料	29	880	記事	Know（不動産での不動産 売却を知りたい）	解説記事	不動産特化	不動産売却_不動産特化	不動産売却と不動産投資の関係を解説	権威構築	必須	解説記事
