No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	住宅ローン控除	33	165000	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
2	＋	住宅ローン	33	201000	記事	Know（住宅ローンの概要を知りたい）	解説記事	基礎解説	住宅ローン_基礎解説	住宅ローンの基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	住宅ローン 金利	33	135000	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
4	＋	住宅ローン シミュレーション	33	110000	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン計算	住宅ローンの計算方法・シミュレーション	ツール集客	必須	計算ツール
5	＋	住宅ローン減税	54	40500	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
6	＋	住宅ローン控除 年末調整	55	22200	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
7	＋	住宅ローン控除 確定申告	53	33100	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
8	＋	住宅ローン 変動金利	33	74000	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
9	＋	住宅ローン控除 必要書類	33	12100	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
10	＋	住宅ローン 借り換え	61	27100	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
11	＋	住宅ローン 確定申告	53	6600	記事	Do（住宅ローンの申告をしたい）	ハウツー記事	申告・届出	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
12	＋	住宅ローン 繰り上げ返済	33	9900	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
13	＋	住宅ローン 返済シミュレーション	60	14800	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
14	＋	住宅ローン 固定金利	56	22200	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
15	＋	住宅ローン 確定申告 初年度	55	5400	記事	Do（住宅ローンの申告をしたい）	ハウツー記事	申告・届出	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
16	＋	住宅ローン 年末調整	33	3600	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
17	＋＋	住宅ローン控除 いつまで	33	12100	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
18	＋＋	住宅ローン控除 確定申告 必要書類	47	12100	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
19	＋＋	住宅ローン控除 シミュレーション	33	18100	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン控除	住宅ローンの控除・軽減措置まとめ	ツール集客	必須	計算ツール
20	＋＋	住宅ローン控除 2026	32	4400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
21	＋＋	住宅ローン控除 年末調整 書き方	51	8100	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
22	＋＋	住宅ローン控除 初年度	33	3600	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
23	＋＋	住宅ローン 金利 ランキング	51	9900	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
24	＋＋	住宅ローン 金利 推移	33	12100	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
25	＋＋	住宅ローン 金利 計算	60	9900	計算ページ	Do（返済額を計算したい）	計算ツール		住宅ローン金利		ツール集客	補足	
26	＋＋	住宅ローン 金利 相場	33	3600	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
27	＋＋	住宅ローン 金利 変動	56	74000	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
28	＋＋	住宅ローン 金利 シュミレーション	60	2400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン金利		ツール集客	補足	
29	＋＋	住宅ローン 金利 比較	56	2400	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
30	＋＋	住宅ローン 金利 平均	54	2400	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
31	＋＋	住宅ローン 金利 一覧	33	4400	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
32	＋＋	住宅ローン シミュレーション スーモ	48	1000	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン計算	住宅ローンの計算方法・シミュレーション	ツール集客	必須	計算ツール
33	＋＋	住宅ローン シミュレーション 年収	33	2400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン借入額		ツール集客	補足	
34	＋＋	住宅ローン シミュレーション 高精度	52	880	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン計算	住宅ローンの計算方法・シミュレーション	ツール集客	必須	計算ツール
35	＋＋	住宅ローン シミュレーション 繰り上げ返済	33	5400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
36	＋＋	住宅ローン シミュレーション わかりやすい	33	2400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン計算	住宅ローンの計算方法・シミュレーション	ツール集客	必須	計算ツール
37	＋＋	住宅ローン シミュレーション ろうきん	56	1300	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン計算	住宅ローンの計算方法・シミュレーション	ツール集客	必須	計算ツール
38	＋＋	住宅ローン シミュレーション フラット35	60	260	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン計算	住宅ローンの計算方法・シミュレーション	ツール集客	必須	計算ツール
