No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	住民税	33	201000	記事	Know（住民税の概要を知りたい）	解説記事	基礎解説	住民税_基礎解説	住民税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	住民税 計算	47	74000	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
3	＋	住民税非課税世帯とは	45	49500	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
4	＋	住民税非課税世帯	33	33100	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
5	＋	住民税 いつから	33	33100	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
6	＋	住民税決定通知書	33	22200	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
7	＋	住民税 計算方法	47	14800	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
8	＋	住民税 いくら	47	14800	記事	Know（住民税がいくらか知りたい）	ガイド記事	税額目安	住民税計算	住民税の計算方法・シミュレーション	権威構築	必須	計算ツール
9	＋	住民税申告	44	6600	記事	Do（申告をしたい）	ハウツー記事	確定申告	住民税申告	住民税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
10	＋	住民税 基礎控除	33	8100	記事	Know（控除・減免を知りたい）	解説記事	控除	住民税基礎解説	住民税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
11	＋	住民税 いくらから	46	8100	記事	Know（住民税がいくらか知りたい）	ガイド記事	税額目安	住民税計算	住民税の計算方法・シミュレーション	権威構築	必須	計算ツール
12	＋	住民税 計算 シュミレーション	48	27100	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
13	＋	住民税 確定申告	46	9900	記事	Do（申告をしたい）	ハウツー記事	確定申告	住民税申告	住民税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
14	＋	住民税 普通徴収	46	6600	記事	Know（徴収方法を知りたい）	解説記事	徴収方法	住民税_徴収方法		権威構築	補足	
15	＋	住民税 非課税	33	12100	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
16	＋＋	住民税とは	33	1300	記事	Know（住民税の仕組みを理解したい）	解説記事	基礎解説	住民税基礎解説	住民税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
17	＋＋	住民税 海外赴任	N/A	140	記事	Know（海外の住民税を知りたい）	解説記事	海外	住民税_海外		権威構築	補足	
18	＋＋	住民税 計算 ざっくり	33	6600	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
19	＋＋	住民税 計算シミュレーション 2025	N/A	110	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
20	＋＋	住民税 計算 年収	33	1300	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
21	＋＋	住民税 計算式	47	480	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
22	＋＋	住民税 計算 横浜市	47	1900	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
23	＋＋	住民税 計算期間	33	480	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	住民税 計算 シュミレーション 大阪	47	480	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
25	＋＋	住民税非課税世帯とは 年収	44	590	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
26	＋＋	住民税非課税世帯とは わかりやすく	33	2900	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
27	＋＋	住民税非課税世帯とは 年金	50	260	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
28	＋＋	住民税非課税世帯とはどんな人	45	720	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
29	＋＋	住民税非課税世帯とは 夫婦	54	70	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
30	＋＋	住民税非課税世帯とは ひとり親	45	30	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
31	＋＋	住民税非課税世帯とは 年金暮らし	52	20	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
32	＋＋	住民税非課税世帯とは 福岡市	N/A	10	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
33	＋＋	住民税非課税世帯とは 横浜市	N/A	20	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
34	＋＋	住民税非課税世帯 条件	46	8100	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
35	＋＋	住民税非課税世帯 年金	51	5400	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
36	＋＋	住民税非課税世帯 給付金	31	12100	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
37	＋＋	住民税非課税世帯 年収	47	1900	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
38	＋＋	住民税非課税世帯 年収 目安	46	9900	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
39	＋＋	住民税非課税世帯 メリット	49	880	記事	Know（非課税世帯の条件を知りたい）	解説記事	非課税世帯	住民税非課税		権威構築	補足	
40	＋＋	住民税 いつから引かれる	33	2400	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
41	＋＋	住民税 いつからいつまで	33	1600	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
42	＋＋	住民税 いつから変わる	33	1000	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
43	＋＋	住民税 いつから 転職	30	1000	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税退職		権威構築	補足	
44	＋＋	住民税 いつから バイト	33	720	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
45	＋＋	住民税 いつから払う	33	390	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
46	＋＋	住民税 いつから 変更	N/A	70	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
47	＋＋	住民税 いつから 払う フリーター	N/A	30	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
48	＋＋	住民税 いつから 新卒	N/A	210	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税支払時期		権威構築	補足	
49	＋＋	住民税決定通知書 再発行	33	2900	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
50	＋＋	住民税決定通知書 ふるさと納税	42	5400	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
51	＋＋	住民税決定通知書 いつ	33	2900	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
52	＋＋	住民税決定通知書 いつ届く	33	1000	記事	Know（住民税の支払い時期を知りたい）	ガイド記事	支払い時期	住民税通知書		権威構築	補足	
53	＋＋	住民税決定通知書 届かない	33	1900	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
54	＋＋	住民税決定通知書 見方	46	1600	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
55	＋＋	住民税決定通知書 マイナポータル	33	720	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
56	＋＋	住民税決定通知書 会社 もらえない	33	1000	記事	Do（住民税の確認方法を知りたい）	ハウツー記事	確認方法	住民税通知書		権威構築	補足	
57	＋＋	住民税決定通知書とは	33	480	記事	Know（住民税の仕組みを理解したい）	解説記事	基礎解説	住民税通知書		権威構築	補足	
58	＋＋	住民税 計算方法 シミュレーション	46	210	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
59	＋＋	住民税 計算方法 わかりやすく	N/A	90	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
60	＋＋	住民税 計算方法 ふるさと納税	N/A	90	計算ページ	Do（住民税を計算したい）	計算ツール		住民税ふるさと納税		ツール集客	補足	
61	＋＋	住民税 計算方法 横浜市	46	110	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
62	＋＋	住民税 計算方法 個人事業主	87	90	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
63	＋＋	住民税 計算方法 基礎控除	N/A	10	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
64	＋＋	住民税 計算方法 福岡市	N/A	40	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
65	＋＋	住民税 計算方法 東京都	N/A	70	計算ページ	Do（住民税を計算したい）	計算ツール		住民税計算	住民税の計算方法・シミュレーション	ツール集客	必須	計算ツール
