No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	個人事業税	32	14800	記事	Know（個人事業税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	個人事業税_基礎解説	個人事業税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	個人事業税 勘定科目	49	2900	記事	Do（会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	個人事業税_会計処理		権威構築	補足
3	＋	個人事業税とは	33	3600	記事	Know（個人事業税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	個人事業税基礎解説	個人事業税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
4	＋	個人事業税経費	51	2400	記事	Do（会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	個人事業税_会計処理		権威構築	補足
5	＋	個人事業税 いくら	49	2900	記事	Know（いくらかかるか知りたい）	計算方法	データ一覧	ガイド記事	税額目安	個人事業税計算	個人事業税の計算方法・シミュレーション	権威構築	必須	計算ツール
6	＋	個人事業税 いつから	33	1000	記事	Know（支払い時期を知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	個人事業税_支払い時期		権威構築	補足
7	＋	個人事業税 計算	49	1900	計算ページ	Do（個人事業税を計算したい）	計算方法	実務ガイド	計算ツール		個人事業税計算	個人事業税の計算方法・シミュレーション	ツール集客	必須	計算ツール
8	＋	個人事業税 クレジットカード	46	260	記事	Do（個人事業税の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	個人事業税_支払い方法		権威構築	補足
9	＋	個人事業税 いくらから	33	590	記事	Know（いくらかかるか知りたい）	計算方法	データ一覧	ガイド記事	税額目安	個人事業税計算	個人事業税の計算方法・シミュレーション	権威構築	必須	計算ツール
10	＋	個人事業税 税率	45	720	記事	Know（いくらかかるか知りたい）	税金	データ一覧	ガイド記事	税額目安	個人事業税税率	個人事業税の税率一覧と計算方法	権威構築	必須	解説記事
11	＋	個人事業税 経費	51	2400	記事	Do（会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	個人事業税_会計処理		権威構築	補足
12	＋	個人事業税 クレジットカード納付	N/A	90	記事	Know（支払い時期を知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	個人事業税_支払い時期		権威構築	補足
13	＋	個人事業税 東京都	N/A	210	削除			解説		地域KW			対象外	不要
14	＋＋	個人事業税 いつ	32	590	記事	Know（個人事業税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	個人事業税_時期・スケジュール		権威構築	補足
15	＋＋	個人事業税 一人親方	43	480	記事	Know（親族間の個人事業税を知りたい）	親族間	解説	解説記事	親族間	個人事業税_親族間		権威構築	補足
16	＋＋	個人事業 個人事業税 勘定科目	N/A	0	削除			解説		検索なし			対象外	不要
17	＋＋	個人事業税 延滞金 勘定科目	N/A	10	記事	Do（会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	個人事業税_会計処理		権威構築	補足
18	＋＋	個人事業税 仕訳 勘定科目	N/A	10	記事	Do（会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	個人事業税_会計処理		権威構築	補足
19	＋＋	個人事業税 還付 勘定科目	N/A	0	削除			解説		検索なし			対象外	不要
20	＋＋	個人事業税 所得税 勘定科目	N/A	0	削除			解説		検索なし			対象外	不要
21	＋＋	個人事業税 予定納税 勘定科目	N/A	0	削除			解説		検索なし			対象外	不要
22	＋＋	確定申告 個人事業税 勘定科目	N/A	0	削除			解説		検索なし			対象外	不要
23	＋＋	個人事業税とは わかりやすく	50	170	記事	Know（個人事業税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	個人事業税基礎解説	個人事業税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
24	＋＋	個人事業税とは いつから	N/A	0	削除			解説		検索なし			対象外	不要
25	＋＋	個人事業税とは 所得税	N/A	0	削除			解説		検索なし			対象外	不要
26	＋＋	個人事業税経費になる	N/A	90	記事	Do（会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	個人事業税_会計処理		権威構築	補足
27	＋＋	個人事業税 いくらから発生	N/A	20	記事	Know（いくらかかるか知りたい）	計算方法	データ一覧	ガイド記事	税額目安	個人事業税計算	個人事業税の計算方法・シミュレーション	権威構築	必須	計算ツール
28	＋＋	個人事業税 いくら 以上	N/A	140	記事	Know（いくらかかるか知りたい）	計算方法	データ一覧	ガイド記事	税額目安	個人事業税計算	個人事業税の計算方法・シミュレーション	権威構築	必須	計算ツール
29	＋＋	個人事業税 いくらから払う	N/A	20	記事	Know（いくらかかるか知りたい）	計算方法	データ一覧	ガイド記事	税額目安	個人事業税計算	個人事業税の計算方法・シミュレーション	権威構築	必須	計算ツール
30	＋＋	個人事業税 いくら 300万	N/A	0	削除			解説		検索なし			対象外	不要
31	＋＋	個人事業税 いつから始まった	N/A	90	記事	Know（支払い時期を知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	個人事業税_支払い時期		権威構築	補足
32	＋＋	個人事業税 いつからかかる	N/A	0	削除			解説		検索なし			対象外	不要
33	＋＋	個人事業税 いつから払う	N/A	0	削除			解説		検索なし			対象外	不要
34	＋＋	個人事業税 いつからある	N/A	0	削除			解説		検索なし			対象外	不要
35	＋＋	個人事業税 いつからいつまで	N/A	0	削除			解説		検索なし			対象外	不要
36	＋＋	個人事業税 いつから開始	N/A	0	削除			解説		検索なし			対象外	不要
37	＋＋	個人事業税 納税証明書 いつから	N/A	0	削除			解説		検索なし			対象外	不要
38	＋＋	個人事業税 延滞金 いつから	N/A	0	削除			解説		検索なし			対象外	不要
39	＋＋	個人事業税 計算方法	50	390	計算ページ	Do（個人事業税を計算したい）	計算方法	実務ガイド	計算ツール		個人事業税計算	個人事業税の計算方法・シミュレーション	ツール集客	必須	計算ツール
40	＋＋	個人事業税 計算式	N/A	50	計算ページ	Do（個人事業税を計算したい）	計算方法	実務ガイド	計算ツール		個人事業税計算	個人事業税の計算方法・シミュレーション	ツール集客	必須	計算ツール
