No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	借入可能額 住宅ローン	33	1900	記事	Know（住宅ローンの借入可能額を知りたい）	解説記事	住宅ローン	借入可能額_住宅ローン		権威構築	補足	
2	＋	借入可能額	33	320	記事	Know（借入可能額の概要を知りたい）	解説記事	基礎解説	借入可能額_基礎解説	借入可能額の基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	借入可能額 計算方法	N/A	260	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	借入可能額 年収	33	390	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
5	＋	借入可能額とは	N/A	90	記事	Know（借入可能額の意味を理解したい）	解説記事	基礎解説	借入可能額基礎解説	借入可能額とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	借入可能額 シミュレーション	N/A	110	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
7	＋	借入可能額 計算	N/A	50	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
8	＋	借入可能額 シュミレーション	33	110	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
9	＋	借入可能額 早見表	N/A	50	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額計算	借入可能額の計算方法・シミュレーション	権威構築	必須	計算ツール
10	＋	借入れ可能額	33	320	記事	Know（借入可能額の概要を知りたい）	解説記事	基礎解説	借入可能額_基礎解説	借入可能額の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	借入可能額 とは	N/A	90	記事	Know（借入可能額の意味を理解したい）	解説記事	基礎解説	借入可能額基礎解説	借入可能額とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	借入可能額 フラット35	N/A	0	削除			検索なし			対象外	不要	
13	＋	借入可能額 年収の何倍	N/A	20	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
14	＋＋	借入可能額 住宅ローン シミュレーション	N/A	0	削除			検索なし			対象外	不要	
15	＋＋	借入可能額 住宅ローン 計算式	N/A	20	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
16	＋＋	借入可能額 住宅ローン 計算	N/A	10	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
17	＋＋	借入可能額 住宅ローン 年収	N/A	10	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
18	＋＋	じぶん銀行 借入可能額 住宅ローン	N/A	10	記事	Know（住宅ローンの借入可能額を知りたい）	解説記事	住宅ローン	借入可能額_住宅ローン		権威構築	補足	
19	＋＋	auじぶん銀行 借入可能額 住宅ローン	N/A	0	削除			検索なし			対象外	不要	
20	＋＋	マイカーローン 借入可能額 住宅ローン	56	0	削除			検索なし			対象外	不要	
21	＋＋	住宅ローン 借入可能額 早見表	63	2400	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額計算	借入可能額の計算方法・シミュレーション	権威構築	必須	計算ツール
22	＋＋	住宅ローン 借入可能額 年収の何倍	33	170	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
23	＋＋	借入可能額 計算方法 fp	N/A	0	削除			検索なし			対象外	不要	
24	＋＋	借入可能額 計算方法 住宅ローン	N/A	0	削除			検索なし			対象外	不要	
25	＋＋	ローン 電卓 借入可能額 計算方法	N/A	0	削除			検索なし			対象外	不要	
26	＋＋	住宅ローン 借入可能額 年収	57	480	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
27	＋＋	マイカーローン 借入可能額 年収	33	110	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
28	＋＋	フリーローン 借入可能額 年収	N/A	140	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
29	＋＋	ろうきん住宅ローン 借入可能額 年収	76	90	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
30	＋＋	ローン 借入可能額 年収	N/A	30	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
31	＋＋	カーローン 借入可能額 年収	N/A	10	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
32	＋＋	カードローン 借入可能額 年収	N/A	10	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額_年収別目安		権威構築	補足	
33	＋＋	住宅ローン 借入可能額とは	N/A	0	削除			検索なし			対象外	不要	
34	＋＋	ローン借入可能額とは	N/A	0	削除			検索なし			対象外	不要	
35	＋＋	住宅ローン 借入可能額 シミュレーション	64	480	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
36	＋＋	住宅ローン 借入可能額 シミュレーション sbi	N/A	0	削除			検索なし			対象外	不要	
37	＋＋	フリーローン 借入可能額 シミュレーション	59	210	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
38	＋＋	カードローン 借入可能額 シミュレーション	66	40	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
39	＋＋	カーローン 借入可能額 シミュレーション	N/A	N/A	削除			検索なし			対象外	不要	
40	＋＋	ローン 借入可能額 シミュレーション	N/A	N/A	削除			検索なし			対象外	不要	
41	＋＋	マイカーローン 借入可能額 シミュレーション	N/A	N/A	削除			検索なし			対象外	不要	
42	＋＋	フラット35 借入可能額 シミュレーション	N/A	N/A	削除			検索なし			対象外	不要	
43	＋＋	借入可能額 計算式 エクセル	N/A	10	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
44	＋＋	借入可能額 計算 電卓	N/A	0	削除			検索なし			対象外	不要	
45	＋＋	借入可能額 計算 住宅ローン	N/A	N/A	削除			検索なし			対象外	不要	
46	＋＋	住宅ローン 借入可能額 計算式	33	170	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
47	＋＋	ローン 借入可能額 計算式	N/A	30	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
48	＋＋	マイカーローン 借入可能額 シュミレーション	56	170	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
49	＋＋	ペアローン 借入可能額 シュミレーション	86	0	削除			検索なし			対象外	不要	
50	＋＋	住宅ローン 借入可能額 シュミレーション	33	480	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
51	＋＋	ローン 借入可能額 シュミレーション	N/A	0	削除			検索なし			対象外	不要	
52	＋＋	リフォームローン 借入可能額 シュミレーション	N/A	0	削除			検索なし			対象外	不要	
53	＋＋	カーローン 借入可能額 シュミレーション	N/A	N/A	削除			検索なし			対象外	不要	
54	＋＋	住宅ローン 借入可能額 早見表 フラット35	54	170	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額計算	借入可能額の計算方法・シミュレーション	権威構築	必須	計算ツール
55	＋＋	マイカーローン 借入可能額 早見表	59	1300	記事	Know（年収別の借入可能額を知りたい）	ガイド記事	年収別目安	借入可能額計算	借入可能額の計算方法・シミュレーション	権威構築	必須	計算ツール
56	＋＋	ローン 借入可能額 早見表	N/A	0	削除			検索なし			対象外	不要	
57	＋＋	住宅ローン 借入可能額 フラット35	N/A	0	削除			検索なし			対象外	不要	
58	＋＋	アルヒ フラット35 借入可能額	53	10	記事	Know（フラット35の借入可能額を知りたい）	ガイド記事	特定企業	借入可能額_特定企業		権威構築	補足	
59	＋＋	フラット35 借入可能額 計算	N/A	10	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
60	＋＋	フラット35 借入可能額 計算式	59	10	計算ページ	Do（借入可能額をシミュレーションしたい）	計算ツール		借入可能額計算	借入可能額の計算方法・シミュレーション	ツール集客	必須	計算ツール
61	＋＋	フラット35 借入可能額	55	480	記事	Know（フラット35の借入可能額を知りたい）	ガイド記事	特定企業	借入可能額_特定企業		権威構築	補足	
62	＋＋	フラット35 借入可能額 上限	N/A	10	記事	Know（フラット35の借入可能額を知りたい）	ガイド記事	特定企業	借入可能額_特定企業		権威構築	補足	
63	＋＋	フラット35s 借入可能額	N/A	10	記事	Know（フラット35の借入可能額を知りたい）	ガイド記事	特定企業	借入可能額_特定企業		権威構築	補足	
64	＋＋	フラット35 ペアローン 借入可能額	N/A	N/A	削除			検索なし			対象外	不要	
65	＋α	借入可能額 0円	N/A	0	削除			検索なし			対象外	不要	
66	＋α	借入可能額 0	N/A	0	削除			検索なし			対象外	不要	
67	＋α	レイク 借入可能額 0円	33	70	記事	Know（借入可能額がゼロ・不要のケースを知りたい）	解説記事	非課税・ゼロ	借入可能額_非課税・ゼロ		権威構築	補足	
68	＋α	レイク 借入可能額 0円 復活知恵袋	N/A	10	削除			QAサイト			対象外	不要	
69	＋α	プロミス 借入可能額 0	N/A	40	記事	Know（借入可能額の概要を知りたい）	解説記事	基礎解説	借入可能額_基礎解説	借入可能額の基礎知識まとめ	権威構築	必須	ピラーページ
70	＋α	アコム 借入可能額 0円	N/A	10	記事	Know（借入可能額がゼロ・不要のケースを知りたい）	解説記事	非課税・ゼロ	借入可能額_非課税・ゼロ		権威構築	補足	
71	＋α	レイク 借入可能額 1000円未満	N/A	N/A	削除			検索なし			対象外	不要	
72	＋α	フラット 35 借入可能額	55	480	記事	Know（借入可能額の具体例を知りたい）	ガイド記事	具体例・ケース	借入可能額_具体例・ケース		権威構築	補足	
73	＋α	住宅ローン 借入可能額 40年	56	140	記事	Know（住宅ローンの借入可能額を知りたい）	解説記事	住宅ローン	借入可能額_住宅ローン		権威構築	補足	
