No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	借入比率	33	170	記事	Know（借入比率の概要を知りたい）	解説記事	基礎解説	借入比率税率	借入比率の税率一覧と計算方法	権威構築	必須	解説記事
2	＋	借入比率とは	N/A	90	記事	Know（借入比率の意味を理解したい）	解説記事	基礎解説	借入比率基礎解説	借入比率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	借入比率 計算	N/A	70	計算ページ	Do（借入比率を計算したい）	計算ツール		借入比率計算	借入比率の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	借入比率 目安	N/A	70	記事	Know（適正な借入比率を知りたい）	ガイド記事	目安	借入比率税率	借入比率の税率一覧と計算方法	権威構築	必須	解説記事
5	＋	借入比率 企業	N/A	10	記事	Know（企業の借入比率を知りたい）	解説記事	企業財務	借入比率税率	借入比率の税率一覧と計算方法	権威構築	必須	解説記事
6	＋	借入比率 とは	N/A	90	記事	Know（借入比率の意味を理解したい）	解説記事	基礎解説	借入比率基礎解説	借入比率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
7	＋	借入比率 目安 法人	N/A	0	削除			検索なし			対象外	不要	
8	＋	借入比率 住宅ローン	86	10	記事	Know（不動産での借入比率を知りたい）	解説記事	不動産	借入比率税率	借入比率の税率一覧と計算方法	権威構築	必須	解説記事
9	＋	借入比率 財務分析	N/A	10	記事	Know（企業の借入比率を知りたい）	解説記事	企業財務	借入比率税率	借入比率の税率一覧と計算方法	権威構築	必須	解説記事
10	＋	借入比率 目安 企業	N/A	0	削除			検索なし			対象外	不要	
11	＋	借入比率 返済比率	N/A	0	削除			検索なし			対象外	不要	
12	＋	借入比率 法人	N/A	0	削除			検索なし			対象外	不要	
13	＋＋	借入比率 計算式	N/A	20	計算ページ	Do（借入比率を計算したい）	計算ツール		借入比率計算	借入比率の計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋＋	借入比率 計算方法	N/A	10	計算ページ	Do（借入比率を計算したい）	計算ツール		借入比率計算	借入比率の計算方法・シミュレーション	ツール集客	必須	計算ツール
15	＋α	売上 借入比率	28	90	記事	Know（借入比率の概要を知りたい）	解説記事	基礎解説	借入比率税率	借入比率の税率一覧と計算方法	権威構築	必須	解説記事
16	＋α	借入比率 英語	N/A	0	削除			検索なし			対象外	不要	
17	＋α	借入比率 個人	N/A	10	記事	Know（借入比率の概要を知りたい）	解説記事	基礎解説	借入比率税率	借入比率の税率一覧と計算方法	権威構築	必須	解説記事
18	＋α	製造業 借入比率	N/A	0	削除			検索なし			対象外	不要	
19	＋α	借入比率 不動産	N/A	0	削除			検索なし			対象外	不要	
20	＋α	不動産業 借入比率	N/A	0	削除			検索なし			対象外	不要	
21	＋α	不動産投資 借入比率	44	0	削除			検索なし			対象外	不要	
22	＋α	フラット35 借入比率	N/A	N/A	削除			検索なし			対象外	不要	
23	＋α	リート 借入比率	N/A	N/A	削除			検索なし			対象外	不要	
24	＋α	reit 借入比率	N/A	0	削除			検索なし			対象外	不要	
25	＋α	ローン 借入比率	N/A	0	削除			検索なし			対象外	不要	
26	＋α	借入比率 ltv	N/A	0	削除			検索なし			対象外	不要	
