No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	再調達価格とは	N/A	720	記事	Know（再調達価格の意味を理解したい）	解説記事	基礎解説	再調達価格基礎解説	再調達価格とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
2	＋	再調達価格	26	590	記事	Know（再調達価格の概要を知りたい）	解説記事	基礎解説	再調達価格_基礎解説	再調達価格の基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	再調達価格 計算方法	31	210	計算ページ	Do（再調達価格を計算したい）	計算ツール		再調達価格計算	再調達価格の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	再調達価格 国土交通省	N/A	140	記事	Know（公式の再調達価格基準を調べたい）	ガイド記事	公式基準	再調達価格_公式基準		権威構築	補足	
5	＋	再調達価格 一覧	N/A	0	削除			検索なし			対象外	不要	
6	＋	再調達価格 木造	N/A	170	記事	Know（構造別の再調達価格を知りたい）	ガイド記事	構造別単価	再調達価格_構造別単価		権威構築	補足	
7	＋	再調達価格 国税庁	N/A	50	記事	Know（公式の再調達価格基準を調べたい）	ガイド記事	公式基準	再調達価格_公式基準		権威構築	補足	
8	＋	再調達価格 火災保険	N/A	20	記事	Know（火災保険の再調達価格を知りたい）	解説記事	火災保険	再調達価格_火災保険		権威構築	補足	
9	＋	再調達価格 不動産	N/A	50	記事	Know（不動産投資での再調達価格を知りたい）	解説記事	不動産評価	再調達価格_不動産評価	再調達価格の不動産評価方法を解説	権威構築	必須	解説記事
10	＋	再調達価格 建物	N/A	30	記事	Know（再調達価格の概要を知りたい）	解説記事	基礎解説	再調達価格_基礎解説	再調達価格の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	再調達価格 rc	N/A	30	記事	Know（構造別の再調達価格を知りたい）	ガイド記事	構造別単価	再調達価格_構造別単価		権威構築	補足	
12	＋	再調達価格 算出方法	N/A	0	削除			検索なし			対象外	不要	
13	＋＋	再調達価格とは 建物	N/A	0	削除			検索なし			対象外	不要	
14	＋＋	再調達価格とは 不動産	N/A	20	記事	Know（再調達価格の意味を理解したい）	解説記事	基礎解説	再調達価格基礎解説	再調達価格とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
15	＋＋	再調達価格とは 火災保険	N/A	N/A	削除			検索なし			対象外	不要	
16	＋＋	再調達価格とは わかり やすく	N/A	30	記事	Know（再調達価格の意味を理解したい）	解説記事	基礎解説	再調達価格基礎解説	再調達価格とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
17	＋＋	再調達価格 計算方法 木造	N/A	0	削除			検索なし			対象外	不要	
18	＋＋	建物 再調達価格 計算方法	45	20	計算ページ	Do（再調達価格を計算したい）	計算ツール		再調達価格計算	再調達価格の計算方法・シミュレーション	ツール集客	必須	計算ツール
19	＋＋	再調達価格 木造アパート	N/A	N/A	削除			検索なし			対象外	不要	
20	＋＋	建物 再調達価格 木造	N/A	10	記事	Know（構造別の再調達価格を知りたい）	ガイド記事	構造別単価	再調達価格_構造別単価		権威構築	補足	
21	＋＋	木造住宅 再調達価格	N/A	20	記事	Know（構造別の再調達価格を知りたい）	ガイド記事	構造別単価	再調達価格_構造別単価		権威構築	補足	
22	＋＋	木造建物 再調達価格	N/A	0	削除			検索なし			対象外	不要	
23	＋＋	木造戸建て 再調達価格	N/A	0	削除			検索なし			対象外	不要	
24	＋＋	建物 再調達価格 国税庁	N/A	10	記事	Know（公式の再調達価格基準を調べたい）	ガイド記事	公式基準	再調達価格_公式基準		権威構築	補足	
25	＋＋	火災保険 再調達価格 決め方	29	110	記事	Know（火災保険の再調達価格を知りたい）	解説記事	火災保険	再調達価格_火災保険		権威構築	補足	
26	＋＋	火災保険 再調達価格 シミュレーション	N/A	70	計算ページ	Do（再調達価格を計算したい）	計算ツール		再調達価格計算	再調達価格の計算方法・シミュレーション	ツール集客	必須	計算ツール
27	＋＋	火災保険 家財 再調達価格	N/A	0	削除			検索なし			対象外	不要	
28	＋＋	火災保険 再調達価格 時価	N/A	0	削除			検索なし			対象外	不要	
29	＋＋	火災保険 建物 再調達価格	N/A	0	削除			検索なし			対象外	不要	
30	＋＋	火災保険 保険金額 再調達価格	N/A	N/A	削除			検索なし			対象外	不要	
31	＋＋	火災保険 再調達価格 テレビ	N/A	0	削除			検索なし			対象外	不要	
32	＋＋	ソニー損保 火災保険 再調達価格	N/A	0	削除			検索なし			対象外	不要	
33	＋＋	マンション 火災保険 再調達価格	N/A	0	削除			検索なし			対象外	不要	
34	＋＋	再調達価格 不動産 計算	N/A	10	計算ページ	Do（再調達価格を計算したい）	計算ツール		再調達価格計算	再調達価格の計算方法・シミュレーション	ツール集客	必須	計算ツール
35	＋＋	再調達価格 不動産投資	N/A	N/A	削除			検索なし			対象外	不要	
36	＋＋	不動産鑑定 再調達価格	N/A	0	削除			検索なし			対象外	不要	
37	＋＋	不動産査定 再調達価格	22	0	削除			検索なし			対象外	不要	
38	＋＋	再調達価格 建物 国税庁	N/A	70	記事	Know（公式の再調達価格基準を調べたい）	ガイド記事	公式基準	再調達価格_公式基準		権威構築	補足	
39	＋＋	建物 再調達価格 計算	N/A	40	計算ページ	Do（再調達価格を計算したい）	計算ツール		再調達価格計算	再調達価格の計算方法・シミュレーション	ツール集客	必須	計算ツール
40	＋＋	建物 再調達価格 表	N/A	20	記事	Do（再調達価格の書式を確認したい）	ハウツー記事	書式	再調達価格_書式		権威構築	補足	
41	＋＋	建物評価 再調達価格	N/A	0	削除			検索なし			対象外	不要	
42	＋＋	建物 再調達価格 単価	48	10	記事	Know（公式の再調達価格基準を調べたい）	ガイド記事	公式基準	再調達価格_公式基準		権威構築	補足	
43	＋＋	建物価格 再調達価格	N/A	0	削除			検索なし			対象外	不要	
44	＋＋	再調達価格 rc造	N/A	N/A	削除			検索なし			対象外	不要	
45	＋α	再調達価格 2025年	N/A	N/A	削除			検索なし			対象外	不要	
46	＋α	再調達価格 上がる	N/A	N/A	削除			検索なし			対象外	不要	
47	＋α	再調達価格 アパート	N/A	0	削除			検索なし			対象外	不要	
48	＋α	再調達価格 いくら	N/A	N/A	削除			検索なし			対象外	不要	
49	＋α	再調達価格 意味	N/A	0	削除			検索なし			対象外	不要	
50	＋α	再調達価格 英語	N/A	20	削除			翻訳KW			対象外	不要	
51	＋α	er 再調達価格	N/A	0	削除			検索なし			対象外	不要	
52	＋α	エンジニアリングレポート 再調達価格	N/A	0	削除			検索なし			対象外	不要	
53	＋α	大阪 再調達価格	N/A	0	削除			検索なし			対象外	不要	
54	＋α	再調達価格 家財	N/A	10	記事	Know（再調達価格の概要を知りたい）	解説記事	基礎解説	再調達価格_基礎解説	再調達価格の基礎知識まとめ	権威構築	必須	ピラーページ
55	＋α	再調達価格 家電	N/A	0	削除			検索なし			対象外	不要	
56	＋α	再調達価格 鑑定	N/A	0	削除			検索なし			対象外	不要	
57	＋α	再調達価格 会計	N/A	0	削除			検索なし			対象外	不要	
58	＋α	capex 再調達価格	N/A	0	削除			検索なし			対象外	不要	
59	＋α	鑑定評価 再調達価格	N/A	0	削除			検索なし			対象外	不要	
60	＋α	再調達価格 基準	N/A	0	削除			検索なし			対象外	不要	
61	＋α	協定 再調達価格	N/A	20	記事	Know（再調達価格の概要を知りたい）	解説記事	基礎解説	再調達価格_基礎解説	再調達価格の基礎知識まとめ	権威構築	必須	ピラーページ
62	＋α	再調達価格 車	N/A	0	削除			検索なし			対象外	不要	
63	＋α	再調達価格 計算	N/A	N/A	削除			検索なし			対象外	不要	
64	＋α	再調達価格 軽量鉄骨	N/A	10	記事	Know（構造別の再調達価格を知りたい）	ガイド記事	構造別単価	再調達価格_構造別単価		権威構築	補足	
65	＋α	再調達価格 計算式	N/A	10	計算ページ	Do（再調達価格を計算したい）	計算ツール		再調達価格計算	再調達価格の計算方法・シミュレーション	ツール集客	必須	計算ツール
66	＋α	再調達価格 建築費	N/A	N/A	削除			検索なし			対象外	不要	
67	＋α	再調達価格 経過年数	N/A	N/A	削除			検索なし			対象外	不要	
68	＋α	再調達価格 建築	N/A	N/A	削除			検索なし			対象外	不要	
69	＋α	再調達価格 固定資産税評価額	N/A	0	削除			検索なし			対象外	不要	
70	＋α	再調達価格 国交省	N/A	N/A	削除			検索なし			対象外	不要	
71	＋α	再調達価格 再調達原価 違い	N/A	0	削除			検索なし			対象外	不要	
72	＋α	再調達価格 再調達原価	N/A	0	削除			検索なし			対象外	不要	
