No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	印紙税	49	18100	記事	Know（印紙税の概要を知りたい）	解説記事	基礎解説	印紙税_基礎解説	印紙税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	印紙税額一覧表	42	14800	記事	Know（印紙税額を一覧で確認したい）	ガイド記事	一覧表	印紙税税率	印紙税の税率一覧と計算方法	権威構築	必須	解説記事
3	＋	印紙税 一覧	43	8100	記事	Know（印紙税額を一覧で確認したい）	ガイド記事	一覧表	印紙税税率	印紙税の税率一覧と計算方法	権威構築	必須	解説記事
4	＋	印紙税法	44	4400	記事	Know（法律を確認したい）	解説記事	法律・規制	印紙税_法律・規制	印紙税に関する法律・ルールを解説	権威構築	必須	解説記事
5	＋	印紙税とは	46	2400	記事	Know（印紙税の仕組みを理解したい）	解説記事	基礎解説	印紙税基礎解説	印紙税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	印紙税 領収書	55	2400	記事	Know（領収書の印紙税を知りたい）	解説記事	領収書	印紙税_領収書		権威構築	補足	
7	＋	印紙税額	48	1600	記事	Know（印紙税額を一覧で確認したい）	ガイド記事	一覧表	印紙税_一覧表		権威構築	補足	
8	＋	印紙税の手引き	44	1300	記事	Know（法律を確認したい）	解説記事	法律・規制	印紙税_法律・規制	印紙税に関する法律・ルールを解説	権威構築	必須	解説記事
9	＋	印紙税 契約書	50	880	記事	Know（契約書の印紙税を知りたい）	解説記事	契約書	印紙税_契約書		権威構築	補足	
10	＋	印紙税過誤納確認申請書	44	590	記事	Do（印紙税の申告をしたい）	ハウツー記事	申告・届出	印紙税_申告・届出		権威構築	補足	
11	＋	印紙税 請負	46	590	記事	Know（契約書の印紙税を知りたい）	解説記事	契約書	印紙税_契約書		権威構築	補足	
12	＋	印紙税 軽減措置	41	720	記事	Know（軽減措置・非課税を知りたい）	解説記事	軽減措置	印紙税控除		権威構築	補足	
