No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	収益還元法	34	1900	記事	Know（収益還元の法律を確認したい）	解説記事	法律・規制	収益還元_法律・規制	収益還元に関する法律・ルールを解説	権威構築	必須	解説記事
2	＋	収益還元法とは	34	590	記事	Know（収益還元法の仕組みを理解したい）	解説記事	基礎解説	収益還元基礎解説	収益還元とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	収益還元法 計算式	34	480	計算ページ	Do（収益還元法で計算したい）	計算ツール		収益還元計算	収益還元の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	収益還元法 わかりやすく	34	170	記事	Know（収益還元法の仕組みを理解したい）	解説記事	基礎解説	収益還元基礎解説	収益還元とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
5	＋	収益還元法 計算方法	N/A	110	計算ページ	Do（収益還元法で計算したい）	計算ツール		収益還元計算	収益還元の計算方法・シミュレーション	ツール集客	必須	計算ツール
6	＋	収益還元法 還元利回り	N/A	70	記事	Know（還元利回りの設定方法を知りたい）	解説記事	還元利回り	収益還元_還元利回り	収益還元と利回りの関係・目安を解説	権威構築	必須	解説記事
7	＋	収益還元価値とは	N/A	50	記事	Know（収益還元法の仕組みを理解したい）	解説記事	基礎解説	収益還元基礎解説	収益還元とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
8	＋	収益還元価値法	N/A	50	記事	Know（収益還元の法律を確認したい）	解説記事	法律・規制	収益還元_法律・規制	収益還元に関する法律・ルールを解説	権威構築	必須	解説記事
9	＋	収益還元法 シミュレーション	N/A	140	計算ページ	Do（収益還元法でシミュレーションしたい）	計算ツール		収益還元計算	収益還元の計算方法・シミュレーション	ツール集客	必須	計算ツール
10	＋	収益還元	N/A	N/A	削除			検索なし			対象外	不要	
11	＋	収益還元 価格 計算	N/A	10	計算ページ	Do（収益還元法で計算したい）	計算ツール		収益還元計算	収益還元の計算方法・シミュレーション	ツール集客	必須	計算ツール
12	＋	収益還元 とは	N/A	0	削除			検索なし			対象外	不要	
13	＋	収益還元 価値 求め 方	N/A	N/A	削除			検索なし			対象外	不要	
14	＋	収益還元 利回り	N/A	10	記事	Know（収益還元の概要を知りたい）	解説記事	基礎解説	収益還元_基礎解説	収益還元の基礎知識まとめ	権威構築	必須	ピラーページ
15	＋	収益還元 不動産	N/A	0	削除			検索なし			対象外	不要	
16	＋	収益還元 計算式	N/A	0	削除			検索なし			対象外	不要	
17	＋	収益還元 積算	N/A	0	削除			検索なし			対象外	不要	
18	＋	収益還元 計算	N/A	0	削除			検索なし			対象外	不要	
19	＋	収益還元 dcf	N/A	0	削除			検索なし			対象外	不要	
20	＋	収益還元 銀行	N/A	0	削除			検索なし			対象外	不要	
21	＋＋	収益還元法 不動産	N/A	170	記事	Know（不動産評価での収益還元法を知りたい）	解説記事	不動産評価	収益還元_不動産評価	収益還元の不動産評価方法を解説	権威構築	必須	解説記事
22	＋＋	収益還元法 直接還元法	N/A	40	記事	Know（直接還元法とDCF法の違いを知りたい）	解説記事	手法比較	収益還元_手法比較		権威構築	補足	
23	＋＋	収益還元法 dcf	N/A	30	記事	Know（直接還元法とDCF法の違いを知りたい）	解説記事	手法比較	収益還元_手法比較		権威構築	補足	
24	＋＋	収益還元法とは わかりやすく	N/A	10	記事	Know（収益還元法の仕組みを理解したい）	解説記事	基礎解説	収益還元基礎解説	収益還元とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
25	＋＋	収益還元法とは 不動産	N/A	0	削除			検索なし			対象外	不要	
26	＋＋	不動産鑑定 収益還元法とは	N/A	0	削除			検索なし			対象外	不要	
27	＋＋	収益還元法 計算式 株価	N/A	0	削除			検索なし			対象外	不要	
28	＋＋	収益還元法 計算式 企業価値	N/A	0	削除			検索なし			対象外	不要	
29	＋＋	収益還元法 計算式 不動産	N/A	10	計算ページ	Do（収益還元法で計算したい）	計算ツール		収益還元計算	収益還元の計算方法・シミュレーション	ツール集客	必須	計算ツール
30	＋＋	収益還元法 企業価値 計算方法	N/A	10	計算ページ	Do（収益還元法で計算したい）	計算ツール		収益還元計算	収益還元の計算方法・シミュレーション	ツール集客	必須	計算ツール
31	＋＋	収益還元法 還元利回りとは	N/A	0	削除			検索なし			対象外	不要	
32	＋＋	不動産 収益還元法 還元利回り	N/A	0	削除			検索なし			対象外	不要	
33	＋＋	収益還元価値とは 簿記	N/A	0	削除			検索なし			対象外	不要	
34	＋＋	収益還元価値法 簿記	N/A	20	記事	Know（企業評価の収益還元を知りたい）	解説記事	企業評価（対象外）	収益還元_企業評価（対象外）		権威構築	不要	
35	＋＋	収益還元価値法とは	N/A	0	削除			検索なし			対象外	不要	
36	＋＋	収益還元価値法 合併	N/A	0	削除			検索なし			対象外	不要	
37	＋＋	収益還元価値法 財務分析 概説	N/A	N/A	削除			検索なし			対象外	不要	
38	＋＋	収益還元価値法 時価	N/A	0	削除			検索なし			対象外	不要	
39	＋＋	収益還元価値法 資本還元率	N/A	0	削除			検索なし			対象外	不要	
40	＋＋	収益還元価値法 簿記論	N/A	0	削除			検索なし			対象外	不要	
41	＋＋	不動産鑑定 収益還元	N/A	0	削除			検索なし			対象外	不要	
42	＋＋	不動産評価 収益還元	N/A	0	削除			検索なし			対象外	不要	
43	＋＋	dcf法 収益還元	N/A	0	削除			検索なし			対象外	不要	
44	＋α	収益還元 英語	N/A	0	削除			検索なし			対象外	不要	
45	＋α	指定管理 収益還元	N/A	0	削除			検索なし			対象外	不要	
46	＋α	小説家になろう 収益還元	N/A	0	削除			検索なし			対象外	不要	
47	＋α	なろう 収益還元	N/A	0	削除			検索なし			対象外	不要	
48	＋α	note 収益還元	N/A	0	削除			検索なし			対象外	不要	
49	＋α	な ろう 収益還元	N/A	0	削除			検索なし			対象外	不要	
