No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	実質利回り	31	590	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	実質利回りとは	29	390	記事	Know（実質利回りの意味を理解したい）	解説記事	基礎解説	実質利回り基礎解説	実質利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	実質利回り 計算	31	320	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	実質利回り 目安	N/A	110	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
5	＋	実質利回り 表面利回り	N/A	50	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り_表面vs実質比較	実質利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
6	＋	実質利回りとは 保険	N/A	90	記事	Know（実質利回りの意味を理解したい）	解説記事	基礎解説	実質利回り基礎解説	実質利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
7	＋	実質利回り 計算方法	N/A	90	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
8	＋	実質利回り計算 シミュレーション	33	90	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
9	＋	実質利回り 理想	N/A	40	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
10	＋	実質利回り 保険	N/A	30	記事	Know（保険の実質利回りを知りたい）	解説記事	保険（対象外）	実質利回り_保険（対象外）		権威構築	不要	
11	＋	実質利回り 株	N/A	20	記事	Know（金融商品の実質利回りを知りたい）	解説記事	金融商品	実質利回り_金融商品		権威構築	補足	
12	＋	実質利回り 不動産	N/A	90	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
13	＋	実質利回り とは	29	390	記事	Know（実質利回りの意味を理解したい）	解説記事	基礎解説	実質利回り基礎解説	実質利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
14	＋	実質利回り 英語	N/A	20	削除			翻訳KW			対象外	不要	
15	＋＋	実質利回りとは 株	N/A	10	記事	Know（実質利回りの意味を理解したい）	解説記事	基礎解説	実質利回り基礎解説	実質利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
16	＋＋	実質利回りとは 不動産	N/A	0	削除			検索なし			対象外	不要	
17	＋＋	実質利回り 計算式	N/A	20	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
18	＋＋	実質利回り 計算 保険	N/A	0	削除			検索なし			対象外	不要	
19	＋＋	実質利回り 計算方法 保険	N/A	20	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
20	＋＋	実質利回り 計算 シミュレーション	33	90	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
21	＋＋	不動産投資 実質利回り 目安	47	70	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
22	＋＋	不動産 実質利回り 目安	N/A	10	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
23	＋＋	表面利回り 実質利回り 目安	N/A	30	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り_表面vs実質比較	実質利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
24	＋＋	アパート経営 実質利回り 目安	33	20	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
25	＋＋	アパート 実質利回り 目安	N/A	0	削除			検索なし			対象外	不要	
26	＋＋	マンション 実質利回り 目安	N/A	0	削除			検索なし			対象外	不要	
27	＋＋	実質利回り 表面利回り 差	N/A	0	削除			検索なし			対象外	不要	
28	＋＋	実質利回り 表面利回り 違い	N/A	0	削除			検索なし			対象外	不要	
29	＋＋	不動産 実質利回り 表面利回り	N/A	0	削除			検索なし			対象外	不要	
30	＋＋	不動産投資 表面利回り 実質利回り	53	10	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り_表面vs実質比較	実質利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
31	＋＋	表面利回り 実質利回り 相場	N/A	20	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り_表面vs実質比較	実質利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
32	＋＋	表面利回り 実質利回り 計算	N/A	20	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
33	＋＋	表面利回り 実質利回り 英語	N/A	0	削除			検索なし			対象外	不要	
34	＋＋	アパート 表面利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
35	＋＋	外貨建て保険 実質利回り 計算方法	N/A	50	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
36	＋＋	不動産 実質利回り 計算方法	29	20	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
37	＋＋	不動産投資 実質利回り 計算方法	N/A	0	削除			検索なし			対象外	不要	
38	＋＋	国債 実質利回り 計算方法	N/A	0	削除			検索なし			対象外	不要	
39	＋＋	表面利回り 実質利回り 計算方法	N/A	0	削除			検索なし			対象外	不要	
40	＋＋	不動産 実質利回り 理想	N/A	0	削除			検索なし			対象外	不要	
41	＋＋	不動産投資 実質利回り 理想	46	0	削除			検索なし			対象外	不要	
42	＋＋	実質利回り 保険 計算	N/A	0	削除			検索なし			対象外	不要	
43	＋＋	保険 積立利率 実質利回り 違い	N/A	0	削除			検索なし			対象外	不要	
44	＋＋	保険 予定利率 実質利回り	32	10	記事	Know（保険の実質利回りを知りたい）	解説記事	保険（対象外）	実質利回り税率		権威構築	補足	
45	＋＋	保険 積立利率 実質利回り	N/A	10	記事	Know（保険の実質利回りを知りたい）	解説記事	保険（対象外）	実質利回り税率		権威構築	補足	
46	＋＋	保険 実質利回り 計算式	N/A	0	削除			検索なし			対象外	不要	
47	＋＋	外貨 建て 保険 実質利回り とは	N/A	10	記事	Know（実質利回りの意味を理解したい）	解説記事	基礎解説	実質利回り基礎解説	実質利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
48	＋＋	実質利回り 計算 株	N/A	0	削除			検索なし			対象外	不要	
49	＋＋	株主優待 実質利回り	N/A	10	記事	Know（金融商品の実質利回りを知りたい）	解説記事	金融商品	実質利回り_金融商品		権威構築	補足	
50	＋＋	株 実質利回り ランキング	N/A	10	記事	Buy（実質利回り関連のサービスを選びたい）	比較記事	おすすめ・比較	実質利回り_おすすめ・比較		権威構築	補足	
51	＋＋	楽天 株主優待 実質利回り	N/A	0	削除			検索なし			対象外	不要	
52	＋＋	株式 実質利回り	N/A	0	削除			検索なし			対象外	不要	
53	＋＋	実質利回り 不動産 計算方法	N/A	0	削除			検索なし			対象外	不要	
54	＋＋	実質利回り 不動産 目安	N/A	0	削除			検索なし			対象外	不要	
55	＋＋	表面利回り 実質利回り 不動産	N/A	0	削除			検索なし			対象外	不要	
56	＋＋	不動産 実質利回り 計算	32	70	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
57	＋＋	不動産投資 実質利回り 最低ライン	45	50	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
58	＋＋	不動産投資 実質利回り 相場	N/A	20	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
59	＋＋	不動産賃貸 実質利回り	N/A	0	削除			検索なし			対象外	不要	
60	＋＋	不動産 実質利回り 平均	N/A	10	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
61	＋α	実質利回り 10パーセント	N/A	10	記事	Know（実質利回りの具体例を知りたい）	ガイド記事	具体例・ケース	実質利回り_具体例・ケース		権威構築	補足	
62	＋α	10年国債 実質利回り	N/A	0	削除			検索なし			対象外	不要	
63	＋α	実質利回り 3パーセント	N/A	0	削除			検索なし			対象外	不要	
64	＋α	実質利回り 4	N/A	0	削除			検索なし			対象外	不要	
65	＋α	実質利回り 5	N/A	10	記事	Know（実質利回りの具体例を知りたい）	ガイド記事	具体例・ケース	実質利回り_具体例・ケース		権威構築	補足	
66	＋α	実質利回り 6	N/A	0	削除			検索なし			対象外	不要	
67	＋α	実質利回り 7	N/A	0	削除			検索なし			対象外	不要	
68	＋α	実質利回り アパート	N/A	0	削除			検索なし			対象外	不要	
69	＋α	実質利回り インフレ	N/A	0	削除			検索なし			対象外	不要	
70	＋α	実質利回り 言い換え	N/A	0	削除			検索なし			対象外	不要	
71	＋α	実質利回り irr	N/A	0	削除			検索なし			対象外	不要	
72	＋α	実質利回り意味	N/A	10	記事	Know（実質利回りの意味を理解したい）	解説記事	基礎解説	実質利回り基礎解説	実質利回りとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
73	＋α	実質利回り 言い方	N/A	N/A	削除			検索なし			対象外	不要	
74	＋α	ウェルスナビ 実質利回り	N/A	0	削除			検索なし			対象外	不要	
75	＋α	u-next 実質利回り	N/A	0	削除			検索なし			対象外	不要	
76	＋α	実質利回り 計算 エクセル	N/A	0	削除			検索なし			対象外	不要	
77	＋α	エブリバディプラス 実質利回り	N/A	70	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
