No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	建物 消費税	28	480	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	建物 消費税 仕入税額控除	N/A	30	記事	Know（建物 消費税の控除・軽減を知りたい）	税金	解説	解説記事	控除・特例	建物消費税控除	建物消費税の控除・軽減措置まとめ	権威構築	必須	解説記事
3	＋	建物 消費税 個人	N/A	30	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
4	＋	建物 消費税 計算	N/A	50	計算ページ	Do（建物 消費税を計算したい）	計算方法	実務ガイド	計算ツール		建物消費税計算	建物消費税の計算方法・シミュレーション	ツール集客	必須	計算ツール
5	＋	建物 消費税 還付	N/A	50	記事	Know（建物 消費税の還付を知りたい）	税金	解説	解説記事	還付	建物消費税_還付		権威構築	補足
6	＋	建物 消費税率	N/A	10	記事	Know（建物 消費税の税率を知りたい）	税金	解説	ガイド記事	税率	建物消費税税率	建物消費税の税率一覧と計算方法	権威構築	必須	解説記事
7	＋	建物 消費税 減価償却	N/A	50	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
8	＋	建物 消費税 按分	N/A	30	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
9	＋	建物 消費税 資産計上	N/A	N/A	削除			解説		検索なし			対象外	不要
10	＋	建物 消費税 法人	47	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	建物 消費税 非課税	N/A	10	記事	Know（建物 消費税の控除・軽減を知りたい）	税金	解説	解説記事	控除・特例	建物消費税_控除・特例	建物消費税の控除・軽減措置まとめ	権威構築	必須	解説記事
12	＋	建物 消費税 計算方法	N/A	170	計算ページ	Do（建物 消費税を計算したい）	計算方法	実務ガイド	計算ツール		建物消費税計算	建物消費税の計算方法・シミュレーション	ツール集客	必須	計算ツール
13	＋＋	建物 購入 消費税 仕入税額控除	N/A	N/A	削除			解説		検索なし			対象外	不要
14	＋＋	建物 売却 消費税 個人	N/A	40	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
15	＋＋	建物 売買 消費税 個人	N/A	40	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
16	＋＋	建物 個人から購入 消費税	N/A	0	削除			解説		検索なし			対象外	不要
17	＋＋	建物 個人間売買 消費税	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
18	＋＋	建物 個人から購入 消費税 インボイス	N/A	N/A	削除			解説		検索なし			対象外	不要
19	＋＋	不動産売買 建物 消費税 個人	28	10	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
