No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	所得税 計算	56	110000	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
2	＋	所得税	54	110000	記事	Know（所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	所得税_基礎解説	所得税の基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	所得税率	33	90500	記事	Know（所得税率を確認したい）	税金	解説	ガイド記事	税率	所得税税率	所得税の税率一覧と計算方法	権威構築	必須	解説記事
4	＋	所得税 いくらから	54	27100	記事	Know（所得税率を確認したい）	計算方法	解説	ガイド記事	税率	所得税計算	所得税の計算方法・シミュレーション	権威構築	必須	計算ツール
5	＋	所得税とは	33	33100	記事	Know（所得税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	所得税基礎解説	所得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	所得税 計算ツール	33	33100	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
7	＋	所得税 税率	33	22200	記事	Know（所得税率を確認したい）	税金	解説	ガイド記事	税率	所得税税率	所得税の税率一覧と計算方法	権威構築	必須	解説記事
8	＋	所得税 税額表	49	6600	記事	Know（所得税率を確認したい）	税金	解説	ガイド記事	税率	所得税_税率		権威構築	補足
9	＋	所得税 基礎控除	33	5400	記事	Know（控除について知りたい）	控除・特例	解説	解説記事	控除	所得税控除	所得税の控除・軽減措置まとめ	権威構築	必須	計算ツール
10	＋	所得税増税	42	8100	記事	Know（所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	所得税_基礎解説	所得税の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	所得税 計算表	52	9900	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
12	＋	所得税 確定申告	58	8100	記事	Do（申告をしたい）	確定申告	解説	ハウツー記事	確定申告	確定申告	所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
13	＋	所得税 控除	53	6600	記事	Know（控除について知りたい）	控除・特例	解説	解説記事	控除	所得税控除	所得税の控除・軽減措置まとめ	権威構築	必須	計算ツール
14	＋	所得税 計算 月額	52	5400	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
15	＋＋	所得税 計算方法	56	9900	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
16	＋＋	所得税 計算シミュレーション	57	4400	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
17	＋＋	所得税 計算方法 毎月	53	880	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
18	＋＋	所得税 計算式	33	880	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
19	＋＋	所得税 計算 給与	56	1900	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
20	＋＋	所得税 計算 シュミレーション	56	4400	計算ページ	Do（所得税を計算したい）	計算方法	実務ガイド	計算ツール		所得税計算	所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
