No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	正味現在価値	26	880	記事	Know（正味現在価値の概要を知りたい）	解説記事	基礎解説	正味現在価値_基礎解説	正味現在価値の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	正味現在価値法	36	260	記事	Know（正味現在価値法を理解したい）	解説記事	NPV法	正味現在価値_NPV法		権威構築	補足	
3	＋	正味現在価値 計算方法	37	320	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	正味現在価値とは	N/A	140	記事	Know（正味現在価値の意味を理解したい）	解説記事	基礎解説	正味現在価値基礎解説	正味現在価値とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
5	＋	正味現在価値法とは	N/A	N/A	削除			検索なし			対象外	不要	
6	＋	正味現在価値法 わかりやすく	N/A	50	記事	Know（正味現在価値の意味を理解したい）	解説記事	基礎解説	正味現在価値基礎解説	正味現在価値とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
7	＋	正味現在価値 読み方	N/A	0	削除			検索なし			対象外	不要	
8	＋	正味現在価値 割引率	N/A	20	記事	Know（割引率の設定方法を知りたい）	解説記事	割引率	正味現在価値税率	正味現在価値の税率一覧と計算方法	権威構築	必須	解説記事
9	＋	正味現在価値(npv)	N/A	N/A	削除			検索なし			対象外	不要	
10	＋	正味現在価値 npv	N/A	30	記事	Know（NPVについて知りたい）	解説記事	基礎解説	正味現在価値_基礎解説	正味現在価値の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	正味現在価値 とは	N/A	140	記事	Know（正味現在価値の意味を理解したい）	解説記事	基礎解説	正味現在価値基礎解説	正味現在価値とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	正味現在価値 計算式	N/A	10	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
13	＋	正味現在価値 計算	N/A	30	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋	正味現在価値 現価係数	N/A	0	削除			検索なし			対象外	不要	
15	＋	正味現在価値 年価	N/A	0	削除			検索なし			対象外	不要	
16	＋	正味現在価値 資本コスト	N/A	0	削除			検索なし			対象外	不要	
17	＋＋	正味現在価値法(npv法)	N/A	N/A	削除			検索なし			対象外	不要	
18	＋＋	正味現在価値法 割引率	N/A	30	記事	Know（割引率の設定方法を知りたい）	解説記事	割引率	正味現在価値税率	正味現在価値の税率一覧と計算方法	権威構築	必須	解説記事
19	＋＋	正味現在価値法 基本情報	N/A	0	削除			検索なし			対象外	不要	
20	＋＋	正味現在価値法 計算式	N/A	10	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
21	＋＋	正味現在価値法 計算方法	N/A	10	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
22	＋＋	正味現在価値法 内部利益率法	N/A	20	記事	Know（正味現在価値法を理解したい）	解説記事	NPV法	正味現在価値税率	正味現在価値の税率一覧と計算方法	権威構築	必須	解説記事
23	＋＋	正味現在価値法 計算	N/A	50	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	正味現在価値 計算方法 エクセル	N/A	N/A	削除			検索なし			対象外	不要	
25	＋＋	正味現在価値 計算方法 割引率	N/A	0	削除			検索なし			対象外	不要	
26	＋＋	正味現在価値 割引率とは	N/A	0	削除			検索なし			対象外	不要	
27	＋＋	正味現在価値 割引率 求め方	N/A	0	削除			検索なし			対象外	不要	
28	＋＋	正味現在価値(npv)法	N/A	N/A	削除			検索なし			対象外	不要	
29	＋＋	正味現在価値(npv)とは	N/A	N/A	削除			検索なし			対象外	不要	
30	＋＋	正味現在価値(npv)と内部収益率(irr)	N/A	N/A	削除			検索なし			対象外	不要	
31	＋＋	npv(正味現在価値)とは	N/A	N/A	削除			検索なし			対象外	不要	
32	＋＋	正味現在価値 計算 サイト	N/A	110	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
33	＋＋	正味現在価値 計算問題	N/A	0	削除			検索なし			対象外	不要	
34	＋＋	正味現在価値 計算例	N/A	N/A	削除			検索なし			対象外	不要	
35	＋＋	キャッシュフロー 正味現在価値 計算	N/A	0	削除			検索なし			対象外	不要	
36	＋α	正味現在価値 0	N/A	0	削除			検索なし			対象外	不要	
37	＋α	正味現在価値 意味	N/A	0	削除			検索なし			対象外	不要	
38	＋α	正味現在価値 irr	N/A	0	削除			検索なし			対象外	不要	
39	＋α	正味現在価値 エクセル	N/A	10	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
40	＋α	正味現在価値 英語	N/A	0	削除			検索なし			対象外	不要	
41	＋α	正味現在価値 応用情報	N/A	0	削除			検索なし			対象外	不要	
42	＋α	正味現在価値 関数	N/A	N/A	削除			検索なし			対象外	不要	
43	＋α	正味現在価値 回収期間	N/A	0	削除			検索なし			対象外	不要	
44	＋α	正味現在価値 基本情報	N/A	0	削除			検索なし			対象外	不要	
45	＋α	正味現在価値 キャッシュフロー	N/A	0	削除			検索なし			対象外	不要	
46	＋α	正味現在価値 期待値	N/A	0	削除			検索なし			対象外	不要	
47	＋α	正味現在価値 期間	N/A	0	削除			検索なし			対象外	不要	
48	＋α	正味現在価値 公式	N/A	10	記事	Know（正味現在価値の概要を知りたい）	解説記事	基礎解説	正味現在価値_基礎解説	正味現在価値の基礎知識まとめ	権威構築	必須	ピラーページ
49	＋α	正味現在価値 式	N/A	0	削除			検索なし			対象外	不要	
50	＋α	収益性指数法 正味現在価値	N/A	0	削除			検索なし			対象外	不要	
51	＋α	正味現在価値 設備投資	N/A	0	削除			検索なし			対象外	不要	
52	＋α	正味現在価値 単位	N/A	0	削除			検索なし			対象外	不要	
53	＋α	正味現在価値 中小企業診断士	25	0	削除			検索なし			対象外	不要	
54	＋α	現在価値 正味現在価値 違い	N/A	0	削除			検索なし			対象外	不要	
55	＋α	割引現在価値 正味現在価値 違い	N/A	0	削除			検索なし			対象外	不要	
56	＋α	内部収益率 正味現在価値 違い	N/A	0	削除			検索なし			対象外	不要	
57	＋α	正味現在価値 投資判断	N/A	0	削除			検索なし			対象外	不要	
58	＋α	正味現在価値 内部収益率	N/A	10	記事	Know（正味現在価値の概要を知りたい）	解説記事	基礎解説	正味現在価値税率	正味現在価値の税率一覧と計算方法	権威構築	必須	解説記事
59	＋α	正味現在価値 年金現価係数	N/A	0	削除			検索なし			対象外	不要	
60	＋α	正味現在価値 不動産	N/A	0	削除			検索なし			対象外	不要	
61	＋α	正味現在価値 法 割引率	N/A	30	記事	Know（割引率の設定方法を知りたい）	解説記事	割引率	正味現在価値税率	正味現在価値の税率一覧と計算方法	権威構築	必須	解説記事
62	＋α	正味現在価値 法 わかりやすく	N/A	50	記事	Know（正味現在価値の意味を理解したい）	解説記事	基礎解説	正味現在価値基礎解説	正味現在価値とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
63	＋α	正味現在価値 本	N/A	10	記事	Know（正味現在価値の概要を知りたい）	解説記事	基礎解説	正味現在価値_基礎解説	正味現在価値の基礎知識まとめ	権威構築	必須	ピラーページ
64	＋α	正味現在価値 マイナス	N/A	0	削除			検索なし			対象外	不要	
65	＋α	正味現在価値 メリット	N/A	0	削除			検索なし			対象外	不要	
66	＋α	正味現在価値 求め方	N/A	20	計算ページ	Do（正味現在価値を計算したい）	計算ツール		正味現在価値計算	正味現在価値の計算方法・シミュレーション	ツール集客	必須	計算ツール
67	＋α	正味現在価値 問題	N/A	10	記事	Know（正味現在価値の概要を知りたい）	解説記事	基礎解説	正味現在価値_基礎解説	正味現在価値の基礎知識まとめ	権威構築	必須	ピラーページ
68	＋α	正味現在価値 わかり やすく	N/A	90	記事	Know（正味現在価値の概要を知りたい）	解説記事	基礎解説	正味現在価値_基礎解説	正味現在価値の基礎知識まとめ	権威構築	必須	ピラーページ
69	＋α	正味現在価値 例題	N/A	30	記事	Know（正味現在価値の概要を知りたい）	解説記事	基礎解説	正味現在価値_基礎解説	正味現在価値の基礎知識まとめ	権威構築	必須	ピラーページ
70	＋α	正味現在価値 例	N/A	0	削除			検索なし			対象外	不要	
71	＋α	正味現在価値 わかりやすく	N/A	90	記事	Know（正味現在価値の意味を理解したい）	解説記事	基礎解説	正味現在価値基礎解説	正味現在価値とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
72	＋α	正味現在価値 割引現在価値	N/A	0	削除			検索なし			対象外	不要	
73	＋α	正味現在価値 現在価値 違い	N/A	0	削除			検索なし			対象外	不要	
74	＋α	正味現在価値 減価償却費	N/A	0	削除			検索なし			対象外	不要	
75	＋α	正味現在価値 現在価値	N/A	0	削除			検索なし			対象外	不要	
76	＋α	正味現在価値 減価償却	N/A	0	削除			検索なし			対象外	不要	
77	＋α	正味現在価値 電卓	N/A	0	削除			検索なし			対象外	不要	
78	＋α	正味現在価値 デメリット	N/A	0	削除			検索なし			対象外	不要	
79	＋α	正味現在価値 簿記	N/A	0	削除			検索なし			対象外	不要	
80	＋α	正味現在価値 dcf	N/A	0	削除			検索なし			対象外	不要	
81	＋α	投資案 正味現在価値	N/A	N/A	削除			検索なし			対象外	不要	
