No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック
1	＋	法人税	33	27100	記事	Know（法人税の概要を知りたい）	解説記事	基礎解説
2	＋	法人税率	48	14800	記事	Know（法人税率を確認したい）	ガイド記事	税率
3	＋	法人税とは	47	9900	記事	Know（法人税の仕組みを理解したい）	解説記事	基礎解説
4	＋	法人税法	42	8100	記事	Know（法律を確認したい）	解説記事	法律・規制
5	＋	法人税 税率	33	6600	記事	Know（法人税率を確認したい）	ガイド記事	税率
6	＋	法人税申告書	44	3600	記事	Do（法人税の申告をしたい）	ハウツー記事	申告
7	＋	法人税 計算	33	4400	計算ページ	Do（法人税を計算したい）	計算ツール	
8	＋	法人税法施行令	42	3600	記事	Know（法律を確認したい）	解説記事	法律・規制
9	＋	法人税 勘定科目	43	1600	記事	Do（会計処理を調べたい）	解説記事	会計処理
10	＋	法人税 実効税率	28	1900	記事	Know（法人税率を確認したい）	ガイド記事	税率
11	＋	法人税 中間納付	30	1900	記事	Do（会計処理を調べたい）	解説記事	会計処理
12	＋	法人税 納税証明書	32	2400	記事	Know（法人税の概要を知りたい）	解説記事	基礎解説
13	＋	法人税 何パーセント	33	1000	記事	Know（法人税の具体例を知りたい）	ガイド記事	具体例・ケース
14	＋	法人税 予定納税	42	1000	記事	Know（法人税の概要を知りたい）	解説記事	基礎解説
15	＋	法人税 中間申告	38	880	記事	Do（法人税の申告をしたい）	ハウツー記事	申告
16	＋	法人税 計算方法	33	1000	計算ページ	Do（法人税を計算したい）	計算ツール	
17	＋＋	法人税率 中小企業	31	1300	記事	Know（法人税率を確認したい）	ガイド記事	税率
18	＋＋	法人税率 実効税率	29	480	記事	Know（法人税率を確認したい）	ガイド記事	税率
19	＋＋	法人税率 推移	43	590	記事	Know（法人税率を確認したい）	ガイド記事	税率
20	＋＋	法人税率とは	33	140	記事	Know（法人税率を確認したい）	ガイド記事	税率
21	＋＋	法人税率 大企業	N/A	170	記事	Know（法人税率を確認したい）	ガイド記事	税率
22	＋＋	法人税率 計算	33	90	計算ページ	Do（法人税を計算したい）	計算ツール	
23	＋＋	法人税率 中小企業 実効税率	N/A	50	記事	Know（法人税率を確認したい）	ガイド記事	税率
24	＋＋	法人税率 日本	44	210	記事	Know（法人税率を確認したい）	ガイド記事	税率
25	＋＋	法人税率 改正	39	70	記事	Know（法人税率を確認したい）	ガイド記事	税率
