No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	減価償却とは	50	49500	記事	Know（減価償却の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	減価償却基礎解説	減価償却とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
2	＋	減価償却	33	40500	記事	Know（減価償却の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	減価償却_基礎解説	減価償却の基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	減価償却費	49	14800	記事	Know（減価償却の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	減価償却_基礎解説	減価償却の基礎知識まとめ	権威構築	必須	ピラーページ
4	＋	減価償却 計算	50	6600	計算ページ	Do（減価償却を計算したい）	計算方法	実務ガイド	計算ツール		減価償却計算	減価償却の計算方法・シミュレーション	ツール集客	必須	計算ツール
5	＋	減価償却 耐用年数	46	5400	記事	Know（耐用年数を確認したい）	減価償却	解説	ガイド記事	耐用年数	減価償却耐用年数		権威構築	補足
6	＋	減価償却資産の耐用年数等に関する省令	42	2400	記事	Know（耐用年数を確認したい）	減価償却	解説	ガイド記事	耐用年数	減価償却耐用年数		権威構築	補足
7	＋	減価償却 英語	38	1300	削除			解説		翻訳KW			対象外	不要
8	＋	減価償却累計額	42	2900	記事	Know（減価償却の会計用語を知りたい）	会計処理	実務ガイド	解説記事	会計用語	減価償却会計		権威構築	補足
9	＋	減価償却 定率法	40	1900	記事	Know（償却方法の違いを知りたい）	手続き・対策	ハウツー	解説記事	償却方法	減価償却方法		権威構築	補足
10	＋	減価償却費 計算	33	2900	計算ページ	Do（減価償却を計算したい）	計算方法	実務ガイド	計算ツール		減価償却計算	減価償却の計算方法・シミュレーション	ツール集客	必須	計算ツール
11	＋	減価償却 定額法	41	1300	記事	Know（償却方法の違いを知りたい）	手続き・対策	ハウツー	解説記事	償却方法	減価償却方法		権威構築	補足
12	＋	減価償却 とは	50	49500	記事	Know（減価償却の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	減価償却基礎解説	減価償却とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
13	＋	減価償却 定率法 計算式	32	1000	計算ページ	Do（減価償却を計算したい）	手続き・対策	実務ガイド	計算ツール		減価償却方法		ツール集客	補足
14	＋	減価償却 賃貸	29	880	記事	Know（不動産での減価償却を知りたい）	その他	解説	解説記事	不動産特化	減価償却_不動産特化	減価償却と不動産投資の関係を解説	権威構築	必須	解説記事
