No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	登録免許税	29	14800	記事	Know（登録免許税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	登録免許税_基礎解説	登録免許税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	登録免許税とは	29	5400	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	登録免許税 計算	28	5400	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	登録免許税 軽減措置	26	2900	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
5	＋	登録免許税 計算方法	29	1900	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
6	＋	登録免許税法	42	1600	記事	Know（法律を確認したい）	法律・制度	解説	解説記事	法律・規制	登録免許税_法律・規制	登録免許税に関する法律・ルールを解説	権威構築	必須	解説記事
7	＋	登録免許税 相続	26	1600	記事	Know（相続時の登録免許税を知りたい）	相続・贈与	解説	解説記事	相続	登録免許税_相続		権威構築	補足
8	＋	登録免許税 税率	28	590	記事	Know（税率を確認したい）	税金	解説	ガイド記事	税率	登録免許税税率		権威構築	補足
9	＋	登録免許税 勘定科目	44	590	記事	Do（会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	登録免許税_会計処理		権威構築	補足
10	＋	登録免許税 いつ払う	31	720	記事	Know（納付方法を知りたい）	手続き・対策	ハウツー	ガイド記事	納付方法	登録免許税_納付方法		権威構築	補足
11	＋	登録免許税 法務局	46	590	記事	Know（登録免許税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	登録免許税_基礎解説	登録免許税の基礎知識まとめ	権威構築	必須	ピラーページ
12	＋	登録免許税 納付方法	39	390	記事	Know（法律を確認したい）	法律・制度	解説	解説記事	法律・規制	登録免許税_法律・規制	登録免許税に関する法律・ルールを解説	権威構築	必須	解説記事
13	＋	登録免許税 土地	28	590	記事	Know（不動産での登録免許税を知りたい）	その他	解説	解説記事	不動産特化	登録免許税_不動産特化	登録免許税と不動産投資の関係を解説	権威構築	必須	解説記事
14	＋＋	登録免許税とは 不動産	N/A	30	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
15	＋＋	登録免許税とは 相続	N/A	30	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
16	＋＋	登録免許税とは わかりやすく	31	390	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
17	＋＋	登録免許税とは いくら	N/A	10	記事	Know（登録免許税の仕組みを理解したい）	計算方法	解説	解説記事	基礎解説	登録免許税計算	登録免許税の計算方法・シミュレーション	権威構築	必須	計算ツール
18	＋＋	登録免許税とは 登記	N/A	20	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
19	＋＋	登録免許税とは 宅建	N/A	10	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
20	＋＋	登録免許税とは 法人	N/A	10	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
21	＋＋	登録免許税とは 土地	N/A	10	記事	Know（登録免許税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	登録免許税基礎解説	登録免許税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
22	＋＋	登録免許税とは 住宅	N/A	0	削除			解説		検索なし			対象外	不要
23	＋＋	登録免許税 計算 相続	28	480	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	登録免許税 計算 切り捨て	N/A	90	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
25	＋＋	登録免許税 計算 マンション	N/A	110	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
26	＋＋	登録免許税 計算方法 相続	N/A	90	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
27	＋＋	登録免許税 計算式	N/A	50	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
28	＋＋	登録免許税 計算 土地と建物	N/A	20	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
29	＋＋	登録免許税 計算 贈与	N/A	20	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
30	＋＋	登録免許税 計算 建物	N/A	20	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
31	＋＋	登録免許税 軽減措置 要件	27	320	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
32	＋＋	登録免許税 軽減措置 いつまで	N/A	50	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
33	＋＋	登録免許税 軽減措置 土地	N/A	50	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
34	＋＋	登録免許税 軽減措置 相続	N/A	140	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
35	＋＋	登録免許税 軽減措置 申請 方法	N/A	70	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
36	＋＋	登録免許税 軽減措置 手続き	N/A	70	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
37	＋＋	登録免許税 軽減措置 宅建	N/A	30	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
38	＋＋	登録免許税 軽減措置 司法書士	N/A	40	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
39	＋＋	登録免許税 軽減措置 必要書類	N/A	110	記事	Know（軽減措置を確認したい）	控除・特例	解説	解説記事	軽減措置	登録免許税控除	登録免許税の控除・軽減措置まとめ	権威構築	必須	解説記事
40	＋＋	登録免許税 計算方法 複数	N/A	0	削除			解説		検索なし			対象外	不要
41	＋＋	登録免許税 計算方法 マンション	N/A	0	削除			解説		検索なし			対象外	不要
42	＋＋	登録免許税 計算方法 法務局	N/A	10	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
43	＋＋	登録免許税 計算方法 切り捨て	N/A	0	削除			解説		検索なし			対象外	不要
44	＋＋	登録免許税 計算方法 土地	N/A	0	削除			解説		検索なし			対象外	不要
45	＋＋	登録免許税 計算方法 売買	N/A	10	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
46	＋＋	登録免許税 計算方法 贈与	N/A	10	計算ページ	Do（登録免許税を計算したい）	計算方法	実務ガイド	計算ツール		登録免許税計算	登録免許税の計算方法・シミュレーション	ツール集客	必須	計算ツール
47	＋＋	登録免許税 計算方法 建物	N/A	0	削除			解説		検索なし			対象外	不要
48	＋＋	登録免許税法第5条	N/A	140	記事	Know（登録免許税の具体条件を知りたい）	具体例	解説	ガイド記事	具体例・ケース	登録免許税_具体例・ケース		権威構築	補足
49	＋＋	登録免許税法施行規則	N/A	140	記事	Know（登録免許税のルール・制度を知りたい）	法律・制度	解説	解説記事	ルール・制度	登録免許税_ルール・制度		権威構築	補足
