No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	相続税	52	135000	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	相続税 基礎控除	31	60500	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
3	＋	相続税 税率	48	33100	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
4	＋	相続税 いくらから	50	40500	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
5	＋	相続税 計算	49	33100	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
6	＋	相続税 早見表	31	14800	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
7	＋	相続税 申告	47	9900	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
8	＋	相続税 配偶者控除	49	9900	記事	Know（配偶者控除を知りたい）	控除・特例	解説	解説記事	配偶者控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
9	＋	相続税率	50	8100	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
10	＋	相続税計算シミュレーション	43	4400	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
11	＋	相続税 控除	46	5400	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
12	＋	相続税 時効	32	4400	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
13	＋	相続税 非課税枠	33	2900	記事	Know（相続税がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	相続税_非課税ケース		権威構築	補足
14	＋	相続税 申告期限	43	5400	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
15	＋＋	相続税 基礎控除 生命保険	33	2900	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
16	＋＋	相続税 基礎控除 一人当たり	47	1600	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
17	＋＋	相続税 基礎控除額	45	1600	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
18	＋＋	相続税 基礎控除 不動産	43	590	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
19	＋＋	相続税 基礎控除 配偶者控除	31	390	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
20	＋＋	相続税 基礎控除 改正	43	720	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
21	＋＋	相続税 基礎控除 3人	54	40	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
22	＋＋	相続税 基礎控除 2025年	33	50	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
23	＋＋	相続税 基礎控除 改正前	50	170	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
24	＋＋	相続税 税率表	50	2400	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
25	＋＋	相続税 税率 早見表	31	590	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
26	＋＋	相続税 税率 控除	50	50	記事	Know（税率・税額を知りたい）	控除・特例	解説	ガイド記事	税率	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
27	＋＋	相続税 税率 計算	56	210	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
28	＋＋	相続税 税率 子供	46	0	削除			解説		検索なし			対象外	不要
29	＋＋	相続税 税率 土地	33	140	記事	Know（税率・税額を知りたい）	その他	解説	ガイド記事	税率	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
