No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	積算評価とは	N/A	210	記事	Know（積算評価の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	積算評価基礎解説	積算評価とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
2	＋	積算評価	45	210	記事	Know（積算評価の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	積算評価_基礎解説	積算評価の基礎知識まとめ	権威構築	必須	ピラーページ
3	＋	積算評価計算シミュレーター	N/A	50	計算ページ	Do（積算評価を計算したい）	計算方法	実務ガイド	計算ツール		積算評価計算	積算評価の計算方法・シミュレーション	ツール集客	必須	計算ツール
4	＋	積算評価額とは	N/A	20	記事	Know（積算評価の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	積算評価基礎解説	積算評価とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
5	＋	積算評価額	N/A	20	記事	Know（積算評価の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	積算評価_基礎解説	積算評価の基礎知識まとめ	権威構築	必須	ピラーページ
6	＋	積算評価シュミレーター	N/A	20	計算ページ	Do（積算評価を計算したい）	計算方法	実務ガイド	計算ツール		積算評価計算	積算評価の計算方法・シミュレーション	ツール集客	必須	計算ツール
7	＋	積算評価 収益評価	N/A	0	削除			解説		検索なし			対象外	不要
8	＋	積算評価 計算	N/A	20	計算ページ	Do（積算評価を計算したい）	計算方法	実務ガイド	計算ツール		積算評価計算	積算評価の計算方法・シミュレーション	ツール集客	必須	計算ツール
9	＋	積算評価 収益還元評価	N/A	20	記事	Know（積算評価と収益評価の違いを知りたい）	比較・検討	解説	解説記事	手法比較	積算評価_手法比較	積算評価の比較・違いをわかりやすく解説	権威構築	必須	解説記事
10	＋	積算評価 計算式	N/A	20	計算ページ	Do（積算評価を計算したい）	計算方法	実務ガイド	計算ツール		積算評価計算	積算評価の計算方法・シミュレーション	ツール集客	必須	計算ツール
11	＋	積算評価 とは	N/A	210	記事	Know（積算評価の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	積算評価基礎解説	積算評価とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	積算評価 不動産	N/A	10	記事	Know（不動産での積算評価を知りたい）	その他	解説	解説記事	不動産特化	積算評価_不動産特化	積算評価と不動産投資の関係を解説	権威構築	必須	解説記事
13	＋	積算評価 出し方	N/A	0	削除			解説		検索なし			対象外	不要
14	＋	積算評価 シミュレーション	N/A	0	削除			解説		検索なし			対象外	不要
15	＋	積算評価 建物	N/A	10	記事	Know（積算評価の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	積算評価_基礎解説	積算評価の基礎知識まとめ	権威構築	必須	ピラーページ
16	＋	積算評価 路線価	N/A	0	削除			解説		検索なし			対象外	不要
17	＋＋	不動産 積算評価とは	N/A	10	記事	Know（積算評価の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	積算評価基礎解説	積算評価とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
18	＋＋	積算評価額 計算	N/A	10	計算ページ	Do（積算評価を計算したい）	計算方法	実務ガイド	計算ツール		積算評価計算	積算評価の計算方法・シミュレーション	ツール集客	必須	計算ツール
19	＋＋	積算評価 計算方法	N/A	10	計算ページ	Do（積算評価を計算したい）	計算方法	実務ガイド	計算ツール		積算評価計算	積算評価の計算方法・シミュレーション	ツール集客	必須	計算ツール
20	＋＋	不動産投資 積算評価	N/A	10	記事	Know（不動産での積算評価を知りたい）	その他	解説	解説記事	不動産特化	積算評価_不動産特化	積算評価と不動産投資の関係を解説	権威構築	必須	解説記事
21	＋α	区分マンション 積算評価	22	10	記事	Know（不動産での積算評価を知りたい）	その他	解説	解説記事	不動産特化	積算評価_不動産特化	積算評価と不動産投資の関係を解説	権威構築	必須	解説記事
22	＋α	滋賀銀行 積算評価	N/A	0	削除			解説		検索なし			対象外	不要
23	＋α	積算評価 土地	N/A	0	削除			解説		検索なし			対象外	不要
24	＋α	積算評価 木造	N/A	0	削除			解説		検索なし			対象外	不要
25	＋α	積算評価 読み方	N/A	0	削除			解説		検索なし			対象外	不要
26	＋α	銀行 積算評価	N/A	0	削除			解説		検索なし			対象外	不要
27	＋α	積算評価 実勢価格	N/A	0	削除			解説		検索なし			対象外	不要
28	＋α	物件 積算評価	N/A	0	削除			解説		検索なし			対象外	不要
