No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	繰り上げ返済	33	8100	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	繰り上げ返済 シミュレーション	60	6600	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
3	＋	繰り上げ返済とは	33	2400	記事	Know（繰り上げ返済の仕組みを理解したい）	解説記事	基礎解説	繰上返済基礎解説	繰上返済とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
4	＋	繰り上げ返済 手数料	57	1900	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
5	＋	繰り上げ返済 メリット	33	1000	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
6	＋	繰り上げ返済 タイミング	33	720	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済_タイミング		権威構築	補足	
7	＋	繰り上げ返済 後悔	44	720	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
8	＋	繰り上げ返済 デメリット	33	480	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
9	＋	繰上げ返済	64	8100	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
10	＋	繰上返済	63	390	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	繰り上げ返済 住宅ローン控除	33	880	記事	Know（住宅ローンの繰り上げ返済を知りたい）	解説記事	住宅ローン	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
12	＋	繰り上げ返済 期間短縮	48	260	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済_方式比較		権威構築	補足	
13	＋	繰り上げ返済 奨学金	46	260	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
14	＋	繰り上げ返済 やり方	33	260	記事	Do（繰上返済の手続き・対策を知りたい）	ハウツー記事	手続き・対策	繰上返済_手続き・対策		権威構築	補足	
15	＋＋	繰り上げ返済 シミュレーション 複数回	33	210	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
16	＋＋	繰り上げ返済 シミュレーション りそな	N/A	30	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
17	＋＋	繰り上げ返済 シミュレーション 奨学金	N/A	0	削除			検索なし			対象外	不要	
18	＋＋	繰り上げ返済 シミュレーション 40年	N/A	0	削除			検索なし			対象外	不要	
19	＋＋	繰り上げ返済 シミュレーション 三井住友信託	N/A	0	削除			検索なし			対象外	不要	
20	＋＋	繰り上げ返済 シミュレーション みずほ	N/A	10	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
21	＋＋	繰り上げ返済 シミュレーション フラット35	55	210	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
22	＋＋	繰り上げ返済 シミュレーション au	N/A	0	削除			検索なし			対象外	不要	
23	＋＋	繰上げ返済 シミュレーション	33	170	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	繰り上げ返済とは 住宅ローン	N/A	20	記事	Know（繰り上げ返済の仕組みを理解したい）	解説記事	基礎解説	繰上返済基礎解説	繰上返済とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
25	＋＋	繰り上げ返済とは クレジットカード	N/A	0	削除			検索なし			対象外	不要	
26	＋＋	繰り上げ返済とは 奨学金	N/A	20	記事	Know（繰り上げ返済の仕組みを理解したい）	解説記事	基礎解説	繰上返済基礎解説	繰上返済とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
27	＋＋	繰り上げ返済とは jcb	N/A	0	削除			検索なし			対象外	不要	
28	＋＋	繰り上げ返済とは わかりやすく	N/A	20	記事	Know（繰り上げ返済の仕組みを理解したい）	解説記事	基礎解説	繰上返済基礎解説	繰上返済とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
29	＋＋	繰り上げ返済とは 車	N/A	10	記事	Know（繰り上げ返済の仕組みを理解したい）	解説記事	基礎解説	繰上返済基礎解説	繰上返済とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
30	＋＋	繰上げ返済とは	33	2400	記事	Know（繰り上げ返済の仕組みを理解したい）	解説記事	基礎解説	繰上返済基礎解説	繰上返済とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
31	＋＋	繰り上げ返済 手数料 住宅ローン	59	1300	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
