No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	譲渡所得税	47	6600	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	譲渡所得税 計算	44	1300	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
3	＋	譲渡所得税とは	44	1000	記事	Know（譲渡所得税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税基礎解説	譲渡所得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
4	＋	譲渡所得税 税率	33	590	記事	Know（税率を確認したい）	税金	解説	ガイド記事	税率	譲渡所得税税率	譲渡所得税の税率一覧と計算方法	権威構築	必須	解説記事
5	＋	譲渡所得税 控除	33	390	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
6	＋	譲渡所得税 相続	42	480	記事	Know（相続不動産の売却税を知りたい）	相続・贈与	解説	解説記事	相続	譲渡所得税_相続		権威構築	補足
7	＋	譲渡所得税 3000万円控除	39	390	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
8	＋	譲渡所得税 いつ払う	N/A	140	記事	Know（いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	譲渡所得税_支払い時期		権威構築	補足
9	＋	譲渡所得税 かからない	42	1000	記事	Know（税金がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	譲渡所得税_非課税ケース		権威構築	補足
10	＋	譲渡所得税 ふるさと納税	N/A	110	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
11	＋	譲渡所得税 確定申告	N/A	140	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
12	＋	譲渡所得税 取得費	N/A	110	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
13	＋＋	譲渡所得税 計算 シュミレーション	33	2400	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋＋	譲渡所得税 計算 シュミレーション 減価償却	30	480	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
15	＋＋	譲渡所得税 計算方法	N/A	70	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
16	＋＋	譲渡所得税 計算 例	31	90	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
17	＋＋	譲渡所得税 計算 シュミレーション 国税庁	54	1600	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
18	＋＋	譲渡所得税 計算 シュミレーション マンション	N/A	40	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
19	＋＋	譲渡所得税 計算 減価償却	N/A	20	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
20	＋＋	譲渡所得税 計算書	N/A	0	削除			解説		検索なし			対象外	不要
21	＋＋	譲渡所得税 計算 不動産	N/A	10	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
22	＋＋	譲渡所得税とは わかりやすく	N/A	70	記事	Know（譲渡所得税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税基礎解説	譲渡所得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
23	＋＋	譲渡所得税とは 株	N/A	0	削除			解説		検索なし			対象外	不要
24	＋＋	譲渡所得税とは 不動産	N/A	0	削除			解説		検索なし			対象外	不要
25	＋＋	譲渡所得税とは 相続	N/A	N/A	削除			解説		検索なし			対象外	不要
26	＋＋	不動産売却 譲渡所得税とは	N/A	0	削除			解説		検索なし			対象外	不要
27	＋＋	譲渡所得税 税率 金	N/A	0	削除			解説		検索なし			対象外	不要
28	＋＋	譲渡所得税 税率 相続	N/A	10	記事	Know（税率を確認したい）	税金	解説	ガイド記事	税率	譲渡所得税税率	譲渡所得税の税率一覧と計算方法	権威構築	必須	解説記事
29	＋＋	譲渡所得税 税率 長期	N/A	10	記事	Know（税率を確認したい）	税金	解説	ガイド記事	税率	譲渡所得税税率	譲渡所得税の税率一覧と計算方法	権威構築	必須	解説記事
30	＋＋	譲渡所得税 税率 長期 短期	N/A	0	削除			解説		検索なし			対象外	不要
31	＋＋	譲渡所得税 税率 短期	N/A	10	記事	Know（税率を確認したい）	税金	解説	ガイド記事	税率	譲渡所得税税率	譲渡所得税の税率一覧と計算方法	権威構築	必須	解説記事
32	＋＋	譲渡所得税 税率 株式	N/A	10	記事	Know（税率を確認したい）	税金	解説	ガイド記事	税率	譲渡所得税税率	譲渡所得税の税率一覧と計算方法	権威構築	必須	解説記事
33	＋＋	譲渡所得税 税率 不動産	N/A	0	削除			解説		検索なし			対象外	不要
34	＋＋	譲渡所得税 税率 20.315	N/A	0	削除			解説		検索なし			対象外	不要
35	＋＋	譲渡所得税 税率 復興特別所得税	N/A	N/A	削除			解説		検索なし			対象外	不要
36	＋＋	譲渡所得税 控除額	N/A	20	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
