No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	贈与税	33	90500	記事	Know（贈与税の概要を知りたい）	解説記事	基礎解説	贈与税_基礎解説	贈与税の基礎知識まとめ	権威構築	必須	ピラーページ
2	＋	贈与税 税率	46	49500	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税税率	贈与税の税率一覧と計算方法	権威構築	必須	解説記事
3	＋	贈与税 申告	46	9900	記事	Do（贈与税の申告をしたい）	ハウツー記事	申告	贈与税申告	贈与税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
4	＋	贈与税 いくらから	33	40500	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税計算	贈与税の計算方法・シミュレーション	権威構築	必須	計算ツール
5	＋	贈与税とは	47	14800	記事	Know（贈与税の仕組みを理解したい）	解説記事	基礎解説	贈与税基礎解説	贈与税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	贈与税 確定申告	52	4400	記事	Do（贈与税の申告をしたい）	ハウツー記事	申告	贈与税申告	贈与税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
7	＋	贈与税 時効	36	8100	記事	Know（贈与税の時効・調査を知りたい）	解説記事	時効・調査	贈与税_時効・調査		権威構築	補足	
8	＋	贈与税 計算	47	8100	計算ページ	Do（贈与税を計算したい）	計算ツール		贈与税計算	贈与税の計算方法・シミュレーション	ツール集客	必須	計算ツール
9	＋	贈与税申告書	47	2400	記事	Do（贈与税の申告をしたい）	ハウツー記事	申告	贈与税申告	贈与税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
10	＋	贈与税 親子	33	5400	記事	Know（親族間の贈与税を知りたい）	解説記事	親族間贈与	贈与税親族		権威構築	補足	
11	＋	贈与税 非課税	49	4400	記事	Know（非課税枠・控除を知りたい）	解説記事	非課税・控除	贈与税_非課税・控除	贈与税の控除・軽減措置まとめ	権威構築	必須	解説記事
12	＋	贈与税 110万円	45	2900	記事	Know（非課税枠・控除を知りたい）	解説記事	非課税・控除	贈与税基礎控除		権威構築	補足	
13	＋	贈与税 税率表	47	2400	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税税率	贈与税の税率一覧と計算方法	権威構築	必須	解説記事
14	＋＋	贈与税 税率 300万円	N/A	30	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税税率	贈与税の税率一覧と計算方法	権威構築	必須	解説記事
15	＋＋	贈与税 税率 住宅	N/A	30	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税不動産		権威構築	補足	
16	＋＋	贈与税 税率 500万円	N/A	40	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税税率	贈与税の税率一覧と計算方法	権威構築	必須	解説記事
17	＋＋	贈与税 税率 土地	33	210	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税税率	贈与税の税率一覧と計算方法	権威構築	必須	解説記事
18	＋＋	贈与税 税率 親子	N/A	30	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税親族		権威構築	補足	
19	＋＋	贈与税 税率 1000万円	N/A	70	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税税率	贈与税の税率一覧と計算方法	権威構築	必須	解説記事
20	＋＋	贈与税 税率 他人	N/A	50	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税税率	贈与税の税率一覧と計算方法	権威構築	必須	解説記事
21	＋＋	贈与税 税率 夫婦間	N/A	40	記事	Know（税率・課税基準を知りたい）	ガイド記事	税率	贈与税夫婦		権威構築	補足	
22	＋＋	贈与税 申告期限	44	2900	記事	Do（贈与税の申告をしたい）	ハウツー記事	申告	贈与税申告	贈与税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
23	＋＋	贈与税 申告方法	48	880	記事	Do（贈与税の申告をしたい）	ハウツー記事	申告	贈与税申告	贈与税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
